Key,Item Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body
75S2S98N,journalArticle,2012,"Grogan, James; Schulze, Mark","The Impact of Annual and Seasonal Rainfall Patterns on Growth and Phenology of Emergent Tree Species in Southeastern Amazonia, Brazil",BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2011.00825.x,,"Understanding tree growth in response to rainfall distribution is critical to predicting forest and species population responses to climate change. We investigated inter-annual and seasonal variation in stem diameter by three emergent tree species in a seasonally dry tropical forest in southeast Para, Brazil. Annual diameter growth rates by Swietenia macrophylla demonstrated strong positive correlation with annual rainfall totals during 19972009; Hymenaea courbaril growth rates demonstrated weak positive correlation, whereas Parkia pendula exhibited weak negative correlation. For both Swietenia and Hymenaea, annual diameter growth rates correlated positively and significantly with rainfall totals during the first 6 mo of the growing year (July to December). Vernier dendrometer bands monitored at 4-wk intervals during 35 yr confirmed strong seasonal effects on stem diameter expansion. Individuals of all three species expanded in unison during wet season months and were static or even contracted during dry season months. Stems of the deciduous Swietenia contracted as crowns were shed during the early dry season, expanded slightly as new crowns were flushed, and then contracted further during 35 wk flowering periods in the late dry season by newly mature crowns. The three species physiographic distribution patterns at the study site may partially underlie observed differences in annual and seasonal growth. With most global circulation models predicting conditions becoming gradually drier in southeast Amazonia over the coming decades, species such as Swietenia that perform best on the wet end of current conditions may experience reduced growth rates. However, population viability will not necessarily be threatened if life history and ecophysiological responses to changing conditions are compensatory.",2012-05,12/02/2025 12:52,12/02/2025 12:52,,331-340,,3,44,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,climate change; reproductive phenology; big-leaf mahogany; dendrometer bands; diameter growth; fava bolota; jatoba; seasonal tropical forest; tropical timber species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2Y7A9IV,journalArticle,2000,"Morellato, LPC; Talora, DC; Takahasi, A; Bencke, CC; Romera, EC; Zipparro, VB",Phenology of Atlantic rain forest trees: A comparative study,BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2000.tb00620.x,,"This paper describes the phenology of leaf, flower, and fruit phenology in the Atlantic rain forests of southeastern Brazil. For 17 months, we observed the phenological patterns of trees from two Atlantic forest types at four sites: premontane forest (Sites I and IV; the “typical” Atlantic rain forest) and coastal plain forest (Sites II and III). All sites experience a nonseasonal, tropical wet climate, characterized by an annual rainfall usually > 2000 mm and lacking a dry season. We tested for the occurrence (or absence) of seasonal phenological patterns within each site and compared the patterns detected among the four different forest sites using circular statistics. The expected weakly seasonal phenological patterns were not observed for these forests. Flowering and leaf flush patterns of Atlantic rain forest trees were significantly seasonal, concentrated at the beginning of the wettest season, and were significantly correlated with day length and temperature. These results stress the influence that seasonal variation in day length has on ever-wet forest tree phenology. Fruiting phenologies were aseasonal in all four forests. Flowering patterns did not differ significantly among three of the four forest sites analyzed, suggesting the occurrence of a general flowering pattern for Atlantic rain forest trees.",2000,12/02/2025 12:52,12/02/2025 12:52,,811-823,,"4B, SI",32,,,,,,,,,,English,,,,,,,"Place: 810 EAST 10TH ST, LAWRENCE, KS 66044 USA Publisher: ASSOC TROPICAL BIOLOGY INC Type: Article",,,,seasonality; flowering; tropical forest; fruiting; phenology; Atlantic Forest; Brazil; leaf fall; leaf flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNE37E23,journalArticle,2017,"Santos Neves, Samia Paula; Pedreira de Miranda, Lia d'Afonseca; Rossatto, Davi Rodrigo; Funch, Ligia Silveira","The roles of rainfall, soil properties, and species traits in flowering phenology along a savanna-seasonally dry tropical forest gradient",BRAZILIAN JOURNAL OF BOTANY,,0100-8404,10.1007/s40415-017-0368-1,,"We investigated flowering phenology in a semiarid macroclimate along an environmental gradient encompassing neotropical savanna, transition, and seasonally dry tropical forest (SDTF) areas in the Chapada Diamantina Mountains, northeastern Brazil. We expected to find divergence in flowering patterns between the plant communities studied that would be explained by distinct functional traits selected by differences in rainfall volumes and soil properties. Bud and flower productions were monitored in 809 individuals between January 2010 and March 2012. The savanna exhibited a continuous flowering pattern, while the transition and SDTF areas showed seasonal flowering associated with rainfall. Environmental variables and plant traits (wood densities, water potentials, and water storage capacities) were related to the observed flowering strategies of woody species. The high diversity of functional groups in the savanna was determined by higher plant water potentials that were related to low wood densities and the availability of soil water. The role of rainfall, especially the rainfall volumes during the dry season, is critical in defining different flowering patterns at the community level. The physical properties of the soil selected the presence of species with distinct water-use strategies (low wood density species in savanna areas, and high wood density species in the transition zone and forest), which in turn affected their flowering.",2017-09,12/02/2025 12:52,12/02/2025 12:52,,665-679,,3,40,,,,,,,,,,English,,,,,,,"Place: CAIXA POSTAL 57088, SAO PAULO, SP 00000, BRAZIL Publisher: SOC BOTANICA SAO PAULO Type: Article",,,,Seasonality; Functional groups; Heterogeneity; Water potentials; Wood density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6QWQTCV,journalArticle,2013,"Silveira, A. P.; Martins, F. R.; Araujo, F. S.",Do vegetative and reproductive phenophases of deciduous tropical species respond similarly to rainfall pulses?,JOURNAL OF FORESTRY RESEARCH,,1007-662X,10.1007/s11676-013-0366-5,,"Deciduous trees with high-density wood that occur in dry seasonal tropical regions respond to rainfall seasonality with synchrony in phenophases. However, they may exhibit interannual differences in synchrony and intensity of phenophases, as strategy for large variations in duration and intensity of rainfall pulses. Nevertheless, it remains unknown how phenophases of deciduous trees of the Brazilian semi-arid region respond to rainfall variations. The phenology of Cordia oncocalyx was monitored in deciduous thorny woodland (Caatinga), from April 2009 to March 2011, and was correlated with rainfall, soil humidity, temperature, and photoperiod. The rainy years 2009 and 2011 exhibited higher duration of rainfall pulses and lower frequency of interpulses, but in 2010 pulse duration and total rainfall were lower. Circular statistics showed leaf flush followed by flowering and fruiting in the rainy season, and leaf fall and seed dispersal in the dry season. Both the vegetative and reproductive phenophases respond similarly to variations in rain pulses, with adjustments in time, duration, and intensity, which were correlated with variations in rainfall and soil humidity, excluding photoperiod as a trigger. Total defoliation occurred in the driest months of each year, November to December 2009 and August to October 2010. A sporadic leaf flush in November 2010 was triggered by occasional rains. Vegetative and reproductive synchronies were high in rainy years, but in 2010 synchrony was low, flowering was delayed and reduced, and, despite the low fruiting, we recorded high density in the seed bank. Lower synchrony, temporal separation of phenophases, and storage of fruits on the ground were risk-spreading strategies used by the population in the dry year, which suggest intrapopulation variability in responses to hydric stress. We believe that this plasticity contributes to high species density in the Caatinga.",2013-12,12/02/2025 12:52,12/02/2025 12:52,,643-651,,4,24,,,,,,,,,,English,,,,,,,"Place: NO 26 HEXING RD, XIANGFANG DISTRICT, HARBIN, 150040, PEOPLES R CHINA Publisher: NORTHEAST FORESTRY UNIV Type: Article",,,,seasonality; phenology; asynchrony; circular analysis; deciduous; risk spreading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8FHLPNVR,journalArticle,2006,"Boulter, SL; Kitching, RL; Howlett, BG","Family, visitors and the weather: patterns of flowering in tropical rain forests of northern Australia",JOURNAL OF ECOLOGY,,0022-0477,10.1111/j.1365-2745.2005.01084.x,,"A data base on the flowering phenology of the Wet Tropics bioregion of far northern Queensland, Australia, has been constructed, based upon over 36 774 records from two Queensland-based herbaria. Flowering patterns have been analysed against the predictions of three overlapping hypotheses based on climatic, biotic and phylogenetic explanations. No one hypothesis is supported to the exclusion of the others. Patterns of flowering in the Wet Tropics show marked seasonal increases and decreases, except in the northern lowlands. In general this seasonality correlates with rainfall and temperature and is exacerbated by increasing latitude and altitude. There is little or no statistical evidence for the over-dispersion of flowering times that would indicate a competition-avoidance mechanism: flowering within taxa or morphological groups tends to be clumped (and if not, is random). That clumping of flowering within taxa does not coincide with a single season provides support for a mass action hypothesis based on the minimization of generalist predation and/or the avoidance of flower predation. Timing of flowering did show some consistency among species within genera and within families, but there was little consistency at higher taxonomic levels. Clear separation of the biotic and phylogenetic hypotheses requires greater knowledge of pollination ecology and phylogeny of this large and diverse flora. Understanding of flowering patterns and their underlying determining mechanisms is a key to assessing the ecosystem health of the forest. Our results highlight the importance of competitive interactions and of physical and evolutionary factors as determinants of flowering time, intensity and co-occurrence in tropical forests.",2006-03,12/02/2025 12:52,12/02/2025 12:52,,369-382,,2,94,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,seasonality; rainfall; flowering phenology; climate; herbaria; phylogeny; rain forest; synchronous flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLELHXNR,journalArticle,2023,"Garwood, Nancy C.; Metz, Margaret R.; Queenborough, Simon A.; Persson, Viveca; Wright, S. Joseph; Burslem, David F. R. P.; Zambrano, Milton; Valencia, Renato",Seasonality of reproduction in an ever-wet lowland tropical forest in Amazonian Ecuador,ECOLOGY,,0012-9658,10.1002/ecy.4133,,"Flowering and fruiting phenology have been infrequently studied in the ever-wet hyperdiverse lowland forests of northwestern equatorial Amazonia. These Neotropical forests are typically called aseasonal with reference to climate because they are ever-wet, and it is often assumed they are also aseasonal with respect to phenology. The physiological limits to plant reproduction imposed by water and light availability are difficult to disentangle in seasonal forests because these variables are often temporally correlated, and both are rarely studied together, challenging our understanding of their relative importance as drivers of reproduction. Here we report on the first long-term study (18 years) of flowering and fruiting phenology in a diverse equatorial forest, Yasuni in eastern Ecuador, and the first to include a full suite of on-site monthly climate data. Using twice monthly censuses of 200 traps and >1000 species, we determined whether reproduction at Yasuni is seasonal at the community and species levels and analyzed the relationships between environmental variables and phenology. We also tested the hypothesis that seasonality in phenology, if present, is driven primarily by irradiance. Both the community- and species-level measures demonstrated strong reproductive seasonality at Yasuni. Flowering peaked in September-November and fruiting peaked in March-April, with a strong annual signal for both phenophases. Irradiance and rainfall were also highly seasonal, even though no month on average experienced drought (a month with <100 mm rainfall). Flowering was positively correlated with current or near-current irradiance, supporting our hypothesis that the extra energy available during the period of peak irradiance drives the seasonality of flowering at Yasuni. As Yasuni is representative of lowland ever-wet equatorial forests of northwestern Amazonia, we expect that reproductive phenology will be strongly seasonal throughout this region.",2023-09,12/02/2025 12:52,12/02/2025 12:52,,,,9,104,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,seasonality; flowering; rainfall; tropical forest; phenology; seed dispersal; daylength; fruit development; Neotropical; solar irradiance; synchrony; Yasuni National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W66JVXK9,journalArticle,2010,"Valdez-Hernandez, Mirna; Andrade, Jose Luis; Jackson, Paula C.; Rebolledo-Vieyra, Mario","Phenology of five tree species of a tropical dry forest in Yucatan, Mexico: effects of environmental and physiological factors",PLANT AND SOIL,,0032-079X,10.1007/s11104-009-0142-7,,"In order to relate phenological responses of trees to environmental variables we recorded the phenological patterns and select morphological and physiological traits (wood density and water potentials) of five tree species (Acacia gaumeri, Apoplanesia paniculata, Bursera simaruba, Gymnopodium floribundum, and Diospyros cuneata) in the tropical dry deciduous forest of the National Park of DzibilchaltA(0)n, Yucatan, Mexico, over a period of 2 years (2004 and 2005). We chose two sites: one close to a permanent water source, locally known as `cenote' (the CC site, ground water table was found at 2 m) and the other far from the cenote (FC site ground water table was at a depth of 10 m). Sites mainly differed in soil depth (FC site having greater soil depth) and soil nutrient characteristics (FC site more potassium, CC site more phosphorous). Our results indicated significant differences in phenology within species between sites and years, with leaf, flower and fruit production tending to be higher at the CC site and in the year 2004. Wood density and xylem water potentials were negatively related to each other, and midday water potentials were higher at the CC site. Differences in phenology found among years suggest that the timing of rainfall as well as the duration of periods without rain may play a more important role in phenology than total annual precipitation. Also differences inter-sites suggest a strong effect of site on tree phenology. Proximity to superficial bodies of water, such as cenotes, coupled with a greater concentration of available phosphorus in the soil may modify the effect of drought in this tropical dry deciduous forest.",2010-04,12/02/2025 12:52,12/02/2025 12:52,,155-171,,01-Feb,329,,,,,,,,,,English,,,,,,,"Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article",,,,Wood density; Cenote; Drought; Ground water table; Leaf water potential; Synchrony index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8VAV9WZK,journalArticle,2017,"Haselhorst, Derek S.; Tcheng, David K.; Moreno, J. Enrique; Punyasena, Surangi W.",The effects of seasonal and long-term climatic variability on Neotropical flowering phenology: An ecoinformatic analysis of aerial pollen data,ECOLOGICAL INFORMATICS,,1574-9541,10.1016/j.ecoinf.2017.06.005,,"The phenological behavior of tropical forests changes in response to seasonal, annual, and long-term variation in temperature, precipitation, and solar irradiance. However, detecting the respective influence of these variables is difficult due to the relatively small range of change that is observed in the tropics. Analysis is further constrained by the limited duration of many phenological datasets. To address these limitations, we developed a predictive ecoinformatic model using multivariate linear regression and slope correlation analysis that can uncover statistically significant biological responses within short, noisy ecological time series. Our approach correlates all possible combinations of climatic and taxonomic variables using a series of random determination trials on shuffled environmental data. Seasonal and annual fluctuations in temperature, precipitation, and sunlight were used to predict the reproductive response of each individual taxon. This predictive model was applied to two seasonally sampled aerial pollen records collected between 1996 and 2006 from two Panamanian forests, Barro Colorado Island and Parque Nacional San Lorenzo. Our results highlight the degree to which pollen output responds to fine-scale variability in climate. Our results lend support to the hypothesis that the pollen output of tropical species is diminished with prolonged periods of heavy rainfall and that pollen output is sensitive to small, seasonal increases in temperature. Our ecoinformatic approach can be expanded to other observational phenological datasets to better understand how communities will respond to climate change and our results demonstrate the ability of aerial pollen data to track long-term changes in flowering phenology.",2017-09,12/02/2025 12:52,12/02/2025 12:52,,54-63,,,41,,,,,,,,,,English,,,,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",,,,Climate; Ecoinformatics; Ecology; Palynology; Phenology; Pollen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAI923T8,journalArticle,2021,"de Oliveira, Carolina Santos; de Sousa Messeder, Joao Vitor; Teixido, Alberto Lopez; Reis Arantes, Marcel Rozemberg; Oliveira Silveira, Fernando Augusto",Vegetative and reproductive phenology in a tropical grassland-savanna-forest gradient,JOURNAL OF VEGETATION SCIENCE,,1100-9233,10.1111/jvs.12997,,"Question Climate, particularly precipitation, is the primary factor driving tropical plant phenology because of its relevant role in regulating water availability. However, differences in soil physicochemical properties can also drive resource availability, potentially affecting plant phenology, especially under similar environments in terms of rainfall regime. We determined whether the seasonality and synchrony of the vegetative and reproductive phenophases differ along a grassland-savanna-forest gradient under the same climate regime in a Neotropical seasonal ecosystem. We hypothesized that species growing on shallow, nutrient-impoverished soils have a higher capacity to respond to precipitation pulses than those on rich soils. Location Serra do Cipo, southeastern Brazil. Methods We quantified soil physicochemical properties associated with fertility and water retention of the grassland (campo rupestre), savanna (cerrado) and forest, and determined the phenological strategies of 70 species across the three vegetation types by monitoring vegetative and reproductive phenophases over one year. For each phenophase, in each vegetation type, we evaluated the seasonality and synchrony of phenological patterns. We quantified the phylogenetic signal for phenophases to disentangle the relative roles of historical vs ecological drivers of plant phenology. Results Soils from campo rupestre were more nutrient- and water-limited than those of cerrado and forest. Cerrado and forest communities had similar phenological strategies, whereas species from campo rupestre showed strategies that maximize resource acquisition and conservation. In the cerrado and forest, leafing and flowering patterns were seasonal, with leaf flushing and flowering peaking at the onset of the rainy season and leaf senescence in the dry season. Conversely, species from campo rupestre showed continuous leafing and flowering patterns, while fruiting was seasonal. Phenophases did not show a phylogenetic signal. Conclusions We demonstrated changes in vegetative and reproductive phenology that are likely associated with variations in soil physicochemical properties. We argue that more severe edaphic filters may have shaped different phenological patterns in campo rupestre.",2021-03,12/02/2025 12:52,12/02/2025 12:52,,,,2,32,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,seasonality; campo rupestre; cerrado; environmental gradients; forest; phenological strategy; soil physicochemical properties; vegetative and reproductive phenophases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RXDVWW8,journalArticle,2023,"Ssali, Fredrick; Sheil, Douglas","Seasonality in the equatorial tropics: Flower, fruit, and leaf phenology of montane trees in the highlands of Southwest Uganda",BIOTROPICA,,0006-3606,10.1111/btp.13219,,"Phenology influences many forest functions and can inform forest conservation and management, yet representative phenological data for most common tropical forest tree species remain sparse or absent. Between June 2011 and December 2013, we investigated flowering, fruiting, and leafing patterns in the Bwindi Impenetrable National Park, a montane forest located near the equator in Uganda, drawing on 16,410 observations of 530 trees of 54 species located between 2066 and 2527 m in elevation. The park's climate is equatorial with two wet and dry seasons each year. Flowering and fruiting were strongly seasonal while patterns in leafing were less pronounced. Flower occurrence peaked at the beginning of the short dry season followed by a pronounced trough during the beginning and the middle of the short wet season. Fruit occurrence had a pronounced peak during high rainfall months in March through April with most fruits ripening during drier months in May through July. Fruit scarcity was observed for a 4-month period spanning September to December and most flushing of leaves noted at the end of the wet season in November and December. Our binomial generalized linear mixed models indicated that flowering and fruiting were negatively associated with temperature and that leafing activity was positively associated with rainfall and temperature. These findings are consistent with the insolation- and water-limitation hypotheses suggesting that the seasonally varying availability of resources such as light, water, and nutrients determines these phenological patterns. Ideally, prolonged, multi-year community-level studies would be supported so as to better characterize the influence of climate and of climate variability.",2023-05,12/02/2025 12:52,12/02/2025 12:52,,680-698,,3,55,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,flowering; fruiting; leaf flush; afromontane; leaf senescence; phenophase synchrony; tropical montane forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IXYPJ74J,journalArticle,1994,"MURALI, KS; SUKUMAR, R","REPRODUCTIVE PHENOLOGY OF A TROPICAL DRY FOREST IN MUDUMALAI, SOUTHERN INDIA",JOURNAL OF ECOLOGY,,0022-0477,10.2307/2261441,,"1 Flowering and fruiting phenologies of a tropical dry forest in Mudumalai, southern India, were studied between April 1988 and August 1990. Two sites, a wetter site I receiving 1100mm and a drier site II receiving 600mm of rainfall annually, are compared. A total of 286 trees from 38 species at site I and 167 trees from 27 species at site II was marked for phenological observations. There were 11 species common to the two sites. Several hypotheses relating to the evolution of reproductive phenology are tested. 2 Frequency of species flowering attained a peak at site I during the dry season but at site II, where soil moisture may be limiting during the dry months, the peak was during the wet season. At both sites a majority of species flushed leaves and flowered simultaneously. Among various guilds, the bird-pollinated guild showed distinct dry season flowering, which may be related to better advertisement of large flowers to pollinators during the leafless dry phase. The wind-pollinated guild flowered mainly during the wet season, when wind speeds are highest and favourable for pollen transport. The insect-pollinated guild showed no seasonality in flowering in site I but a wet season flowering in site II. 3 Fruiting frequency attained a peak in site I during the late wet season extending into the early dry season; a time-lag correlation showed that fruiting followed rainfall with a lag of about two months. Site II showed a similar fruiting pattern but this was not statistically significant. The dispersal guilds (animal, wind, and explosive passively-dispersed) did not show any clear seasonality in fruiting, except for the animal-dispersed guild which showed wet season fruiting in site I. 4 Hurlbert's overlap index was also calculated in order to look at synchrony in flowering and fruiting irrespective of climatic (dry and wet month) seasonality. In general, overlap in flowering and fruiting guilds was high because of seasonal aggregation. Among the exceptions, at site II the wind-pollinated flowering guild did not show significant overlap between species although flowering aggregated in the wet season. This could be due to the need to avoid heterospecific pollen transfer. 5 Rarer species tended to flower earlier in the dry season and this again could be an adaptation to avoid the risk of heterospecific pollen transfer or competition for pollinators. The more abundant species flowered mainly during the wet season. Species which flower earlier have larger flowers and, having invested more energy in flowers, also have shorter flower to fruit durations.",1994-12,12/02/2025 12:52,12/02/2025 12:52,,759-767,,4,82,,,,,,,,,,English,,,,,,,"Place: OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL Publisher: BLACKWELL SCIENCE LTD Type: Article",,,,COMMUNITY ORGANIZATION; FLOWERING PHENOLOGY; FRUITING PHENOLOGY; MUDUMALAI SANCTUARY; POLLINATION AND DISPERSAL GUILDS; SOUTHERN INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVAZXZZJ,journalArticle,1996,"Spencer, H; Weiblen, G; Flick, B","Phenology of Ficus variegata in a seasonal wet tropical forest at Cape Tribulation, Australia",JOURNAL OF BIOGEOGRAPHY,,0305-0270,10.1111/j.1365-2699.1996.tb00008.x,,"We studied the phenology of 198 mature trees of the dioecious fig Ficus variegata Blume (Moraceae) in a seasonally wet tropical rain forest at Cape Tribulation, Australia, from March 1988 to February 1993. Leaf production was highly seasonal and correlated with rainfall. Trees were annually deciduous, with a pronounced leaf drop and a pulse of new growth during the August-September drought. At the population level, figs were produced continually throughout the study but there were pronounced annual cycles in fig abundance. Figs were least abundant during the early dry period (June-September) and most abundant from the late dry season (October-November) through the wet season (December-April). The annual peak in reproduction actually reflected two staggered peaks arising from gender differences in fig phenology. In this dioecious species, female and male trees initiated their maximal fig crops at different times and flowering was to some extent synchronized within sexes. Fig production in the female (seed-producing) trees was typically confined to the wet season. Male (wasp-producing) trees were less synchronized than female trees but reached a peak level of fig production in the months prior to the onset of female fig production. Male trees were also more likely to produce figs continually. Asynchrony among male fig crops during the dry season could maintain the pollinator population under adverse conditions through within- and among-tree wasp transfers.",1996-07,12/02/2025 12:52,12/02/2025 12:52,,467-475,,4,23,,,,,,,,,,English,,,,,,,"Place: P O BOX 88, OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0NE Publisher: BLACKWELL SCIENCE LTD Type: Article; Proceedings Paper",,,,seasonality; phenology; Australia; Cape Tribulation; dioecy; Ficus variegata; figs; flowering asynchrony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLNY8TVV,journalArticle,2005,"McLaren, KP; McDonald, MA",Seasonal patterns of flowering and fruiting in a dry tropical forest in Jamaica,BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2005.00075.x,,"Tropical dry forests occupy more area and are more endangered than rainforests, yet their regeneration ecology has received less study and is consequently poorly understood. We recorded the flowering and fruiting phenology of a tropical dry forest in Jamaica over a period of 26 mo within ten 15 x 15-m plots. Community-wide recruitment reached a maximum in the wet season, whereas no recruitment occurred during the dry season. We observed a unimodal peak in rainfall and fruit production, and the periodicity and intensity of seed production were significantly correlated with rainfall seasonality (the optimal time for germination). Flowering at the community and system levels lagged behind a significant increase and subsequent decrease in rainfall by 7 and 3 mo, respectively, indicating that the dominant factor controlling flowering periodicity is the passage of the major (4-mo long) rainy season and changes in soil moisture conditions. Fruiting lagged behind flowering by 2 mo and a significant increase in fruiting occurred 2 mo prior to a significant increase in rainfall. At the population level, a correspondence analysis identified a major dichotomy in the patterns of flowering and fruiting between species and indicated two broad species groups based oil their time of peak fruiting and the number of times they were in fruit. These were either individuals which were usually in peak fruit 1-2 mo prior to the start of the major rainy season or those that were in fruit more or less continuously throughout the year with no peak fruiting time. This study supports the view that seasonal variation in rainfall and hence soil water availability constitutes both the proximate and the ultimate cause of flowering periodicity in tropical dry forests.",2005-12,12/02/2025 12:52,12/02/2025 12:52,,584-590,,4,37,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,dry season; flowering; fruiting; phenology; disturbance; tropical dry forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3X5TAKH,journalArticle,2019,"Perina, Bianca Buck; Liboni, Ana Paula; Montanher, Daniel Rodrigo; Messetti, Ana Verginia L.; Pimenta, Jose Antonio; Bianchini, Edmilson",Phenology of the tree community in a seasonal forest in southern Brazil,BRAZILIAN JOURNAL OF BOTANY,,0100-8404,10.1007/s40415-019-00545-y,,"Seasonal variations in environmental factors, such as precipitation, influence plant phenology and the relative importance of each factor, differ according to the ecosystem in question. In this study, we evaluated the phenology of 60 tree species in a seasonal semi-deciduous forest located at the southern border of the tropical zone (23 degrees 26 ` 35”S and 51 degrees 15 ` 30”W) during 3 years. We aimed to investigate the relationship of leaf fall, leaf flushing, budding, flowering, immature and mature fruit phenophases with precipitation, temperature and photoperiod. We also analyzed whether the phenological patterns of tree community were seasonal and similar between consecutive years. Although the climate of the region is classified as Cfa, there are two distinct season: a hot humid summer and a cold drier winter. Leaf fall occurred predominantly in the dry season, with leaf flushing and flowering at the end of the dry and early wet season. The mature fruits were observed throughout the year. For the six phenophases analyzed, the percentage of species did not differ among the three study years. The tree community presented, in general, weakly seasonal phenological patterns, mainly in response to variations in temperature and photoperiod. The mature fruits showed seasonal patterns when the species were grouped by dispersal syndrome. This predictability suggests that small inter-annual variations in precipitation and temperature are not relevant for the studied tree species' phenology.",2019-09,12/02/2025 12:52,12/02/2025 12:52,,477-490,,3,42,,,,,,,,,,English,,,,,,,"Place: CAIXA POSTAL 57088, SAO PAULO, SP 00000, BRAZIL Publisher: SOC BOTANICA SAO PAULO Type: Article",,,,Flowering; Fruiting; Leaf fall; Leaf flushing; Tropical trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
