Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body
9Z5EL6BQ,journalArticle,1994,"BORCHERT, R",SOIL AND STEM WATER STORAGE DETERMINE PHENOLOGY AND DISTRIBUTION OF TROPICAL DRY FOREST TREES,ECOLOGY,,0012-9658,10.2307/1937467,,"Many trees of tropical dry forests flower or form new shoots soon after leaf shedding during the dry season, i.e., during a period when trees are likely to be severely water stressed. To resolve this apparent paradox, phenology and seasonal changes in tree water status were monitored during two consecutive dry seasons in > 150 trees of 37 species growing at different sites in the tropical dry lowland forest of Guanacaste, Costa Rica. Tree development during the dry season varied considerably between species and between sites of different moisture availability. Leaf shedding, flowering, and shoot growth (flushing) were strongly correlated with seasonal changes in tree water status, measured by conventional and newly developed techniques. Tree water status varied with the availability of subsoil water and a variety of biotic factors such as structure and life-span of leaves, time of leaf shedding, wood density and capacity for stem water storage, and depth and density of root systems. Observed tree species differed widely in wood density (from 0.19 to 1.1 g/cm(3)) and stem water storage capacity (400-20% of dry mass), which was highly correlated with the degree of desiccation during drought. Only hardwood trees at dry upland sites, lacking stem water storage and access to subsoil water, desiccated strongly (stem water potential < -4 MPa) and remained inactive throughout the dry season. In all other trees elimination of transpirational water loss during leaf shedding in conjunction with utilization of residual water enabled rehydration of stem tissues and subsequent flowering or flushing during the dry season. Rate and degree of rehydration varied strongly with the availability of water stored in tree trunks or in the subsoil. Stored water buffers the impact of seasonal drought and enables flowering and flushing during the dry season. Climatic data are thus not sufficient to explain tree phenology in seasonally dry tropical forests. Phenology, seasonal changes in water status, and water storage capacity of tree species are highly correlated. Tree species cluster into a number of distinct functional types ranging from deciduous hardwood trees and water-storing lightwood trees in dry upland forests to evergreen light- and softwood trees confined to moist lowland sites. Seasonal variation in tree water status thus appears to be the principal determinant of both phenology and distribution of tree species in tropical dry forests.",1994-07,02/03/2025 20:24,02/03/2025 20:24,,1437-1449,,5,75,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,TROPICAL DRY FOREST; COSTA RICA; SEASONAL DROUGHT; SOIL WATER STORAGE; STEM WATER STORAGE; TREE PHENOLOGY; TREE WATER STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79QDFMK2,journalArticle,2023,"Lee, Calvin Ka Fai; Song, Guangqin; Muller-Landau, Helene C.; Wu, Shengbiao; Wright, S. Joseph; Cushman, K. C.; Araujo, Raquel Fernandes; Bohlman, Stephanie; Zhao, Yingyi; Lin, Ziyu; Sun, Zounachuan; Cheng, Peter Chuen Yan; Ng, Michael Kwok-Po; Wu, Jin",Cost-effective and accurate monitoring of flowering across multiple tropical tree species over two years with a time series of high-resolution drone imagery and deep learning,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,0924-2716,10.1016/j.isprsjprs.2023.05.022,,"Detection of flowering and quantification of flowering phenology are key to monitoring the reproduction of tropical trees and their response to global change. However, effective monitoring of flowering over various scales from individuals to forest ecosystem levels is lacking due to the relatively small sizes of flowers, diverse flowering strategies across species, and the short duration of flowering, making accurate flower detection difficult. Dronebased surveys require less time and human resources than traditional ground-based flower surveys and thus may be able to help address this in a cost-effective manner but remain underexplored in species-rich tropical forest ecosystems. Here, we developed a method that integrated the Residual Networks 50 (ResNet50) deep learning algorithm with high resolution imagery (c. 0.05 m) from monthly drone surveys done in a 50-ha tropical forest plot on Barro Colorado Island (BCI), Panam & PRIME;a, over 2018-2020 to detect a diversity of flowering species in this tree community and to track the timing of flowering throughout the year. We built a comprehensive training library of canopy components (flower, leaf, branch, and shade) from this forest plot throughout the study period, trained a single deep learning model across all drone imagery, and validated it using five-fold cross validation at the pixel scale. We further generated image- and tree-crown-specific supervised classifications to evaluate the deep learning model at the tree-crown scale. Our deep learning method accurately classified flowers (User's accuracy = 95.3 %, Producer's accuracy = 85.8 %) while maintaining high predictive power for the other three classes (Overall accuracy = 98.4 %). Our results also demonstrated high consistency against tree-crown-specific supervised classifications for flower (r2 = 0.85), leaf (r2 = 0.84), and branch (r2 = 0.92) components, with lower agreement observed for the shade component (r2 = 0.59). These results demonstrate the effectiveness of our method in advancing fine-scale flower monitoring in the tropics, with potential to be extended to other regions or other remote sensing platforms with frequent high-resolution monitoring. The method will allow us to better monitor flowering in tropical forests and improve our understanding of how phenology and reproductive success may be affected by climate change.",2023-07,02/03/2025 20:24,02/03/2025 20:24,,92-103,,,201,,,,,,,,,,English,,,,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",,,,Drone; Flower detection; Flower fraction; ResNet50; Tropical phenology; UAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUA76QLM,journalArticle,2024,"Singh, Lal Ji; Dey, Bishnu Charan; Mitra, Prashanta Kumar; Sharma, Gyan Prakash; Kushwaha, Chandra Prakash","Diversity of reproductive phenology of trees in the tropical evergreen forest of Andaman and Nicobar Islands, India",TROPICAL ECOLOGY,,0564-3295,10.1007/s42965-024-00326-z,,"The present paper describes the phenological pattern of 73 tree species from tropical zone of Andaman and Nicobar Islands (ANIs), India. The study exhibits two flowering peaks (dry season and wet season) among the studied tree species. The dry season peak flowering was immediately followed by peak fruiting during pre-monsoon dry period just prior to onset of wet season. Peak flowering in March was significantly correlated with changes in temperature, this synchronized flowering in the dry season also affects the insect's floral visits on the plant. Ripening of fruits during early wet season may offer post dispersal advantage for seeds to germinate and thereby ensuring offspring survival. The finding indicates that both temperature and rainfall strongly influence the seasonality in reproductive phenology of trees of this archipelago. The study supports the “optimal time of reproductive phenology” and suggests that a strong seasonality exists with respect to reproductive phenology (flowering and fruiting) in tree species of tropical evergreen forests of Andaman and Nicobar Islands.",2024-06,02/03/2025 20:24,02/03/2025 20:24,,201-211,,2,65,,,,,,,,,,English,,,,,,,"Place: CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND Publisher: SPRINGERNATURE Type: Article",,,,Phenophase; Reproductive patterns; Seasonality; Tropical evergreen forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5MRT973,journalArticle,2022,"Vogado, Nara O.; Engert, Jayden E.; Linde, Tore L.; Campbell, Mason J.; Laurance, William F.; Liddell, Michael J.",Climate Change Affects Reproductive Phenology in Lianas of Australia's Wet Tropics,FRONTIERS IN FORESTS AND GLOBAL CHANGE,,,10.3389/ffgc.2022.787950,,"Lianas are increasing in abundance in many tropical forests. This increase can alter forest structure and decrease both carbon storage and tree diversity via antagonistic relationships between lianas and their host trees. Climate change is postulated as an underlying driver of increasing liana abundances, via increases in dry-season length, forest-disturbance events, and atmospheric CO2 concentrations; all factors thought to favour lianas. However, the impact of climate change on liana reproductive phenology, an underlying determinant of liana abundance, has been little studied, particularly outside of Neotropical forests. Over a 15-year period (2000-2014), we examined the phenological patterns of a liana community in intact rainforests of the Wet Tropics bioregion of Australia; a World Heritage Area and hotspot of floral diversity. Specifically, we assessed (1) flowering and fruiting patterns of liana species; (2) potential climate drivers of flowering and fruiting activity; and (3) the influence of El Nino-related climatic disturbances on liana phenology. We found that flowering and fruiting of the studied liana species increased over time. Liana reproduction, moreover, rose in apparent response to higher temperatures and reduced rainfall. Finally, we found flowering and fruiting of the liana species increased following El Nino events. These results suggest that liana reproduction and abundance are likely to increase under predicted future climate regimes, with potentially important impacts on the survival, growth, and reproduction of resident trees and thus the overall health of Australian tropical rainforests.",09/06/2022,02/03/2025 20:24,02/03/2025 20:24,,,,,5,,,,,,,,,,English,,,,,,,"Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article",,,,flowering; fruiting; ENSO (El Nino Southern Oscillation); forest disturbance; rainforest; woody vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTUXM34G,journalArticle,2008,"O'Brien, Joseph J.; Oberbauer, Steven F.; Clark, David B.; Clark, Deborah A.",Phenology and stem diameter increment seasonality in a Costa Rican wet tropical forest,BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2007.00354.x,,"The relationship between phenology and tree stem diameter increment is largely unexplored in tropical species, especially in wet tropical forests. To explore links between these phenomena, we measured stem diameter increment and phenology often canopy tree species from a range of functional types in the Atlantic lowlands of Costa Rica to test for seasonal and interannual patterns. We measured stem diameter increment using band dendrometers and visually assessed leaf and reproductive phenology monthly from 1997 to 2000. We categorized the species into groups based on patterns of leaf exchange and reproduction. Species were either deciduous with synchronous or asynchronous leaf drop, or evergreen with continuous or seasonal leaf flushing. Flowering occurred supra-annually, annually, or continuously. Of the ten species studied, four species, Cecropia insignis, Dipteryx panamensis, Lecythis ampla, and Simarouba amara, had consistent seasonal stem diameter increment patterns in both years. Dipteryx panamensis and L. ampla were deciduous with synchronized leaf drop. Cecropia insignis was evergreen and produced new leaves continuously. Simarouba amara, also evergreen, exchanged leaves over a brief period once a year. We tested whether stem diameter increment was correlated to phenology using logistic regression. Leaflessness significantly explained patterns in stem diameter increment but reproductive phenology did not. Deciduous trees were 2.6-9.3 times more likely to grow less than average the month following leaffall than in months when trees had full crowns.",2008-03,02/03/2025 20:24,02/03/2025 20:24,,151-159,,2,40,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,tropical rain forest; La Selva; tropical tree stem diameter increment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF43EF65,journalArticle,2021,"Ramaswami, Geetha; Sidhu, Swati; Quader, Suhel",Using citizen science to build baseline data on tropical tree phenology,CURRENT SCIENCE,,0011-3891,10.18520/cs/v121/i11/1409-1416,,"Large-scale and long-term baselines on climate-sensitive phenology of widespread tree species are lacking in the Indian subcontinent. Citizen scientists can help bridge this information gap by contributing simple, technology-based data. Here we describe an India-wide initiative called SeasonWatch, with preliminary insights into contributor behaviour and species phenology. Between 2011 and 2019, cumulative contributor numbers have increased every year, although consistent contribution remains constant and low. We describe seasonal and spatial phenological patterns in most-observed species based on repeated monitoring and one-time `bioblitz' events. We study in detail the flowering phenology of one particular species, Cassia fistula, which appears to show aberrant phenology, reflecting a potential shift away from culturally known flowering dates. We conclude that citizen science-contributed information can be a valuable reference database to compare future changes in tree phenology.",10/12/2021,02/03/2025 20:24,02/03/2025 20:24,,1409-1416,,11,121,,,,,,,,,,English,,,,,,,"Place: C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA Publisher: INDIAN ACAD SCIENCES Type: Article",,,,climate change; seasonality; tree phenology; citizen science; Baseline data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5I3H66B,journalArticle,2020,"Staggemeier, Vanessa Graziele; Gutierrez Camargo, Maria Gabriela; Felizola Diniz-Filho, Jose Alexandre; Freckleton, Robert; Jardim, Lucas; Cerdeira Morellato, Leonor Patricia",The circular nature of recurrent life cycle events: a test comparing tropical and temperate phenology,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.13266,,"The high diversity of plant species in the tropics has revealed complex phenological patterns and reproductive strategies occurring throughout the year. Describing and analysing tropical plant phenology, and detecting triggers, demands to consider the circular nature of recurrent life cycle events and the use of appropriated statistical metrics. Here, we explore analytical pitfalls potentially affecting results of studies that do not consider the circular nature of phenology data when comparing resting and non-resting systems, especially when accounting for phylogeny. We discuss definitions of the widely used first flowering date and revisit the literature on phylogenetic signal in plant phenology. We compare statistical analyses for tropical and temperate phenology by simulating communities with known phenological and phylogenetic structures. We demonstrate that ignoring the circular nature of phenological data underestimates the phylogenetic signal in plant phenology. Using the proposed circular transformation for non-resting tropical ecosystems and resting temperate systems prevented errors, yielding precise comparisons. Synthesis. The analysis of both non-resting and resting systems must consider the circularity of phenological events. Circular statistics is the appropriate approach to calculate phenological parameters, identify phylogenetic signal and assess drivers, allowing accurate cross-comparisons of phenology across environments at large spatial scales.",2020-03,02/03/2025 20:24,02/03/2025 20:24,,393-404,,2,108,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Review",,,,circular statistics; climate seasonality; first flowering date; K-statistic; Mantel correlation; Pagel's lambda; phylogenetic eigenvector regression; phylogenetic signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD7JTIXF,journalArticle,2008,"Guenter, Sven; Stimm, Bernd; Cabrera, Manuel; Diaz, Maria Luisa; Lojan, Manuel; Ordonez, Eduardo; Richter, Michael; Weber, Michael","Tree phenology in montane forests of southern Ecuador can be explained by precipitation, radiation and photoperiodic control",JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467408005063,,"We investigated the effect of seasonality on tree phenology in the tropical montane rain forest of southern Ecuador and analysed possible triggering factors. Two hypotheses were tested: (1) Interspecific synchronization of flowering and fruiting phenology is higher at study sites with pronounced rainfall seasonality compared with sites within perhumid forests. (2) Proximate causes for flowering in closely situated seasonal and perhumid sites are either photoperiodicity or climatic factors. Two nearby study sites with contrasting precipitation patterns were selected at the same altitude east and west of the western Cordillera. Eighty trees from 13 species were observed over a 2.5-y period. Three species were common to both study sites. Phenological and climate data were collected and cross-correlated by conducting a time-series analysis. At the perhumid site, very clear annual patterns of phenological behaviour could be observed for most of the selected rain-forest tree species, but with a poor interspecific synchronization. On the nearby seasonal site in contrast, most species showed high synchrony in their phenological behaviour coinciding with the dry season. There is strong evidence that flowering is induced not by one factor alone: we identified photoperiodic control, radiation and precipitation as possible proximate causes for both sites. Our results confirm studies which state that these factors are closely linked to each other in the tropics.",2008-05,02/03/2025 20:24,02/03/2025 20:24,,247-258,,3,24,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,ecuador; mountain ecosystem; regional variation; seasonality; South America; tree phenology; tropical rain forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397APKTN,journalArticle,2013,"Couralet, C.; Van den Bulcke, J.; Ngoma, L. M.; Van Acker, J.; Beeckman, H.",PHENOLOGY IN FUNCTIONAL GROUPS OF CENTRAL AFRICAN RAINFOREST TREES,JOURNAL OF TROPICAL FOREST SCIENCE,,0128-1283,,,"A good understanding of the phenology of rainforest trees would help in anticipating ecosystem response to future global climate change. Extensive and long-term phenological observations in the tropics are rare and difficult to realise but unpublished historical records have been preserved and are of high value. Phenological data gathered between 1948 and 1957 on 3642 trees of 158 species in the rainforest reserve of Luki, Democratic Republic of Congo were analysed. Patterns of leaf shedding, flowering, fruiting and fruit dispersal were presented for three major functional groups of trees and their relationships with rainfall investigated. Annual rhythms of leaf and reproductive phenology were observed with patterns ranging from synchronous annual peaks to continuity. Over the years, positive association was found between leaf shedding and annual rainfall for shade-tolerant canopy species as well as between reproductive phenology and annual rainfall for long-lived heliophilous and shade-tolerant understorey species. Direct and indirect associations with intra-annual and supra-annual climate variations suggest that changes in environmental conditions may affect phenological patterns of tropical trees thus species interactions and ecosystem dynamics. The different leaf and reproductive phenological patterns found in different functional groups of trees promote the coexistence of numerous tree species in tropical rainforest multispecies communities. The associations between tree phenology and rainfall also reinforce the evidence for potential effects of climate variations on the ecology of Central African forests.",2013-07,02/03/2025 20:24,02/03/2025 20:24,,361-374,,3,25,,,,,,,,,,English,,,,,,,"Place: PUBLICATION UNIT, KEPONG, KUALA LUMPUR 52109, MALAYSIA Publisher: FOREST RESEARCH INST MALAYSIA Type: Article",,,,climate change; Democratic Republic of Congo; phenological rhythms; plant-climate interactions; tropical rainforest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGVHXQBT,journalArticle,2015,"Bate, Patricia J.; Franklin, Donald C.",Limited impact of irrigation on the phenology of <i>Brachychiton megaphyllus</i>: a deciduous shrub that flowers while leafless during the tropical dry season,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467415000358,,"A suite of woody plants inhabiting the seasonally dry tropics flower while leafless during the dry season, raising intriguing questions about the role of moisture limitation in shaping their phenology. Brachychiton megaphyllus is one such species, a shrub of open forests and savannas in northern Australia. We documented leaf and reproductive phenology of 14 shrubs, and irrigated a further 15, to determine if soil moisture affected leafiness and reproductive activity. Brachychiton megaphyllus showed first flower buds shortly after the cessation of wet-season rains, and budded and flowered throughout the dry season. In some plants, leaf flush occurred prior to the first rains. Rates of fruit set and maturity were very low. Irrigation did not significantly influence leaf shoot or subsequent canopy development. Contrary to expectation, irrigation decreased the production of buds and flowers though it had no impact on the production of fruit, a response for which we suggest a number of hypotheses. Phenological responses to irrigation may have been limited because B. megaphyllus responds primarily to cues other than soil moisture and is buffered against seasonal drought by a large tap root. This suggests mechanisms by which flowering while leafless may occur in a range of species.",2015-09,02/03/2025 20:24,02/03/2025 20:24,,459-467,,5,31,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,deciduousness; wet-dry tropics; dry-season flowering; monsoonal tropics; plants; soil moisture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DULARFD5,journalArticle,2022,"Arias Garcia, Juan Sebastian; da Silva, Danielle Pereira; Hurtado Salazar, Alejandro; Espinoza, Rodrigo Alejandro Iturrieta; Ceballos-Aguirre, Nelson","Phenology of hass avocado in the Andean tropics of Caldas, Colombia",REVISTA BRASILEIRA DE FRUTICULTURA,,0100-2945,10.1590/0100-29452022252,,"-The objective of this study was to document and analyze the effect of climate on the phenological development of ???Hass??? avocado in two contrasting zones of the Andean tropics of Caldas, located at altitudes of 1,950m and 2,400m a.s.l., respectively. A completely randomized experimental design was carried out using a five to seven year-old ???Hass??? tree as experimental unit and 15 replicates on each area. Observations were conducted on lateral sylleptic shoots and their corre-sponding apical buds located on the eastern and western sides of each tree. The destination of the apical bud of lateral shoots was quantified, floral phenology was documented, heat units were calculated from reproductive bud stage 1 to anthesis and to harvest and root growth was followed for each study area. Air temperature, soil temperature, precipitation and photosynthetically active radiation (PAR) values were recorded over time. Differences were found in the number of apical buds of lateral shoots with reproductive and vegetative destination, flowering phenology, heat units, root growth, PAR and precipitation. Differences were found among vari-ables evaluated at the two contrasting altitudes. There is a clear need for further ecophysiological studies on this fruit tree in tropical areas in particular.",2022,02/03/2025 20:24,02/03/2025 20:24,,,,5,44,,,,,,,,,,English,,,,,,,"Place: VIA ACESSO PROF PAULO DONATO CAS℡LANE, S-N, JABOTICABAL SP, 14884-900, BRAZIL Publisher: SOC BRASILEIRA FRUTICULTURA Type: Article",,,,al-ternate bearing; cumulative heat units; ecophysiology; photosynthetically active radiation; sylleptic shoots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XEPGUIU9,journalArticle,1983,"BORCHERT, R",PHENOLOGY AND CONTROL OF FLOWERING IN TROPICAL TREES,BIOTROPICA,,0006-3606,10.2307/2387949,,"Descriptions of structure and flowering phenology of the tropical tree species Cedrela mexicana, Cordia glabra, Erythrina poeppigiana, Tabebuia rosea and T. ochrea neochrysantha are used to analyze and illustrate the complex relation between structure, vegetative development and flowering in tropical trees. Because of the strong positional differentiation within tree crowns and the repetition of vegetative and reproductive growth cycles in trees, flower develoment and its control are more complex than in herbaceous plants. Formation of terminal inflorescences, as found in Cedrela, Cordia and Tabebuta, regularly occurs at the end of a flush of determinate shoot growth; flower initiation, like shoot growth cessation, is controlled by internal, correlative factors rather than by environmental changes. Initiation of lateral inflorescences is usually preceded by growth cessation in the indeterminate, vegetative shoot, but the timing and control of flower induction in lateral buds are unknown. For many tropical trees, particularly those growing in seasonal climates, flower development is discontinuous, i.e., flower initiation and anthesis are separated by a prolonged rest period and must be controlled separately. Delayed anthesis is usually triggered by rehydration of previously water-stressed trees resulting from leaf shedding or, in dry habitats, by rainfall. Because of different degrees of seasonal water stress, leaf fall and subsequent anthesis in several species extend over 3-4 mo. The observed periodicity of anthesis in tropical trees is thus largely determined by seasonal changes in tree water status and is unlikely to be the result of selection for optimum tree-pollinator interaction.",1983,02/03/2025 20:24,02/03/2025 20:24,,81-89,,2,15,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XN2SFNNM,journalArticle,2015,"Sheldon, Kimberly S.; Nadkarni, Nalini M.","Reproductive phenology of epiphytes in Monteverde, Costa Rica",REVISTA DE BIOLOGIA TROPICAL,,0034-7744,10.15517/rbt.v63i4.16583,,"Phenology of plants, or the timing of life cycle events, is important for understanding plant ecology, forest dynamics, and plant-animal interactions. In tropical forests, studies that document epiphyte reproductive phenology are relatively few because of the challenges of tracking plants that live in the canopy. Phenological patterns for 279 individuals of 7 epiphyte species were examined across 12 months in a tropical montane forest in Monteverde, Costa Rica. Epiphytes were located in one of two common tree species, Ficus tuerckheimii (Moraceae) or Ocotea tonduzii (Lauraceae). Flowering and fruiting (i.e., when ripe or unripe fruit is present on the plant) of study plants was recorded on monthly intervals, and phenology was examined as a function of the season at the study site (i.e., wet, transition, or dry season), and pollinator syndrome (bird-, or insect-pollinated) and seed dispersal syndrome (bird-, bat-, or wind-dispersed) of each plant. Though some epiphyte species flowered and fruited throughout the year, the majority showed significant seasonality in phenological events. Based on circular statistics, the timing of mean flowering of different epiphyte species varied, however, timing of mean fruiting for most species tended to occur during the wet season. Insect- and bird-pollinated species had peak flowering during the dry season and late wet season, respectively. Bird-dispersed fruits were present each month of the year with peaks from February to October and again in December. Wind-dispersed fruits were observed eight months of the year with a peak in the early wet season. The timing of epiphyte flowering coincided with flowering of large trees in the area. Epiphyte fruiting, however, is distinct from large tree fruiting. Our results demonstrate the seasonal nature of flowering and fruiting in individual epiphyte species while also highlighted the asynchronous nature of phenological events amongst the epiphyte community.",2015-12,02/03/2025 20:24,02/03/2025 20:24,,1119-1126,,4,63,,,,,,,,,,English,,,,,,,"Place: UNIVERSIDAD DE COSTA RICA CIUDAD UNIVERSITARIA, SAN JOSE, 00000, COSTA RICA Publisher: REVISTA DE BIOLOGIA TROPICAL Type: Article",,,,reproductive biology; Neotropical; cloud forest; phenological patterns; arboreal plants; biodiversity; tropical canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HULSE9RE,journalArticle,2019,"Hogan, J. Aaron; Nytch, Christopher J.; Bithorn, John E.; Zimmerman, Jess",Proposing the solar-wind energy flux hypothesis as a driver of inter-annual variation in tropical tree reproductive effort,AMERICAN JOURNAL OF BOTANY,,0002-9122,10.1002/ajb2.1380,,"Premise The El Nino Southern Oscillation (ENSO) affects tropical environmental conditions, potentially altering ecosystem function as El Nino events interact with longer-term climate change. Anomalously warm equatorial Pacific Ocean temperatures affect rainfall and temperature throughout the tropics and coincide with altered leaf flush phenology and increased fruit production in wet tropical forests; however, the understanding of mechanisms underlying this pattern is limited. There is evidence that increases in tropical tree reproduction anticipate El Nino onset, motivating the continued search for a global driver of tropical angiosperm reproduction. We present the solar-wind energy flux hypothesis: that physical energy influx to the Earth's upper atmosphere and magnetosphere, generated by a positive anomaly in the solar wind preceding El Nino development, cues tropical trees to increase resource allocation to reproduction. Methods We test this hypothesis using 19 years of data from Luquillo, Puerto Rico, correlating them with measures of solar-wind energy. Results From 1994 to 2013, the solar-wind energy flux into Earth's magnetosphere (E-in) was more strongly correlated with the number of species fruiting and flowering than the Nino 3.4 climate index, despite Nino 3.4 being previously identified as a driver of interannual increases in reproduction. Conclusions Changes in the global magnetosphere and thermosphere conditions from increased solar-wind energy affect global atmospheric pressure and circulation patterns, principally by weakening the Walker circulation. We discuss the idea that these changes cue interannual increases in tropical tree reproduction and act through an unidentified mechanism that anticipates and synchronizes the reproductive output of the tropical trees with El Nino.",2019-11,02/03/2025 20:24,02/03/2025 20:24,,1519-1525,,11,106,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,flowering; reproductive phenology; fruiting; tropical trees; El Nino Southern Oscillation; Luquillo; solar wind; solar-wind energy flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
