"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D88LJ7YE","journalArticle","2014","Kimball, Kenneth D.; Davis, Michael L.; Weihrauch, Douglas M.; Murray, Georgia L. D.; Rancourt, Kenneth","LIMITED ALPINE CLIMATIC WARMING AND MODELED PHENOLOGY ADVANCEMENT FOR THREE ALPINE SPECIES IN THE NORTHEAST UNITED STATES","AMERICAN JOURNAL OF BOTANY","","0002-9122","10.3732/ajb.1400214","","Premise of the study: Most alpine plants in the Northeast United States are perennial and flower early in the growing season, extending their limited growing season. Concurrently, they risk the loss of reproductive efforts to late frosts. Quantifying long-term trends in northeastern alpine flower phenology and late-spring/early-summer frost risk is limited by a dearth of phenology and climate data, except for Mount Washington, New Hampshire (1916 m a.s.l.). Methods: Logistic phenology models for three northeastern US alpine species (Diapensia lapponica, Carex bigelowii and Vaccinium vitis-idaea) were developed from 4 yr (2008-2011) of phenology and air temperature measurements from 12 plots proximate to Mount Washington's long-term summit meteorological station. Plot-level air temperature, the logistic phenology models, and Mount Washington's climate data were used to hindcast model yearly (1935-2011) floral phenology and frost damage risk for the focal species. Key results: Day of year and air growing degree-days with threshold temperatures of -4 degrees C (D. lapponica and C. bigelowii) and -2 degrees C (V. vitis-idaea) best predicted flowering. Modeled historic flowering dates trended significantly earlier but the 77-yr change was small (1.2-2.1 d) and did not significantly increase early-flowering risk from late-spring/early-summer frost damage. Conclusions: Modeled trends in phenological advancement and sensitivity for three northeastern alpine species are less pronounced compared with lower elevations in the region, and this small shift in flower timing did not increase risk of frost damage. Potential reasons for limited earlier phenological advancement at higher elevations include a slower warming trend and increased cloud exposure with elevation and/or inadequate chilling requirements.","2014-09","2025-03-06 11:17:01","2025-03-06 11:17:01","","1437-1446","","9","101","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; alpine plants; Carex bigelowii; Diapensia lapponica; floral phenology; frost risk; long-term record; Mount Washington; New Hampshire; Vaccinium vitis-idaea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LYQ9RD6E","journalArticle","2022","Prevey, Janet S.; Elmendorf, Sarah Claire; Bjorkman, Anne; Alatalo, Juha M.; Ashton, Isabel; Assmann, Jakob J.; Bjork, Robert G.; Bjorkman, Mats P.; Cannone, Nicoletta; Carbognani, Michele; Chisholm, Chelsea; Clark, Karin; Collins, Courtney G.; Cooper, Elisabeth J.; Elberling, Bo; Frei, Esther R.; Henry, Gregory R. H.; Hollister, Robert D.; Hoye, Toke Thomas; Jonsdottir, Ingibjorg Svala; Kerby, Jeffrey T.; Klanderud, Kari; Kopp, Christopher; Levesque, Esther; Mauritz, Marguerite; Molau, Ulf; Myers-Smith, Isla H.; Natali, Susan M.; Oberbauer, Steven F.; Panchen, Zoe; Petraglia, Alessandro; Post, Eric; Rixen, Christian; Rodenhizer, Heidi; Rumpf, Sabine B.; Schmidt, Niels Martin; Schuur, Ted; Semenchuk, Philipp; Smith, Jane Griffin; Suding, Katharine; Totland, Orjan; Troxler, Tiffany; Wahren, Henrik; Welker, Jeffrey M.; Wipf, Sonja; Yang, Yue","The tundra phenology database: more than two decades of tundra phenology responses to climate change<SUP>1</SUP>","ARCTIC SCIENCE","","","10.1139/as-2020-0041","","Observations of changes in phenology have provided some of the strongest signals of the effects of climate change on terrestrial ecosystems. The International Tundra Experiment (ITEX), initiated in the early 1990s, established a common protocol to measure plant phenology in tundra study areas across the globe. Today, this valuable collection of phenology measurements depicts the responses of plants at the colder extremes of our planet to experimental and ambient changes in temperature over the past decades. The database contains 150 434 phenology observations of 278 plant species taken at 28 study areas for periods of 1 -26 years. Here we describe the full data set to increase the visibility and use of these data in global analyses and to invite phenology data contributions from underrepresented tundra locations. Portions of this tundra phenology database have been used in three recent syntheses, some data sets are expanded, others are from entirely new study areas, and the entirety of these data are now available at the Polar Data Catalogue (https://doi.org/10.21963/13215).","2022-09","2025-03-06 11:17:01","2025-03-06 11:17:01","","1026-1039","","3","8","","","","","","","","","","English","","","","","","","Place: 123 Slater Street, Suite 610, OTTAWA, ON K1P 5H2, CANADA Publisher: CANADIAN SCIENCE PUBLISHING Type: Article; Data Paper","","","","climate change; flowering; alpine; Arctic; experimental warming; Experiment (ITEX); International Tundra; plant; vegetation change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76C9NRNX","journalArticle","2021","MacDougall, Andrew S.; Caplat, Paul; Olofsson, Johan; Siewert, Matthias B.; Bonner, Colin; Esch, Ellen; Lessard-Therrien, Malie; Rosenzweig, Hannah; Schafer, Anne-Kathrin; Raker, Pia; Ridha, Hassan; Bolmgren, Kjell; Fries, Thore C. E.; Larson, Keith","Comparison of the distribution and phenology of Arctic Mountain plants between the early 20th and 21st centuries","GLOBAL CHANGE BIOLOGY","","1354-1013","10.1111/gcb.15767","","Arctic plants are adapted to climatic variability, but their long-term responses to warming remain unclear. Responses may occur by range shifts, phenological adjustments in growth and reproduction, or both. Here, we compare distribution and phenology of 83 arctic and boreal mountain species, sampled identically in the early 20th (1917-1919) and 21st centuries (2017-2018) from a region of northern Sweden that has warmed significantly. We test two compensatory hypotheses to high-latitude warming-upward shifts in distribution, and earlier or extended growth and reproduction. For distribution, we show dramatic upward migration by 69% of species, averaging 6.1 m per decade, especially boreal woodland taxa whose upward expansion has reduced arctic montane habitat by 30%. Twenty percent of summit species showed distributional shifts but downward, especially moisture-associated snowbed flora. For phenology, we detected wide inter-annual variability in the onset of leafing and flowering in both eras. However, there was no detectable change in growing-season length, relating to two mechanisms. First, plot-level snow melt data starting in 1917 demonstrated that melt date, rather than vernal temperatures, better predicts plant emergence, with snow melt influenced by warmer years having greater snowfall-warmer springs did not always result in earlier emergence because snowbeds can persist longer. Second, the onset of reproductive senescence between eras was similar, even when plant emergence was earlier by a month, possibly due to intensified summer heat stress or hard-wired `canalization' where senescence occurs regardless of summer temperature. Migrations in this system have possibly buffered arctic species against displacement by boreal expansion and warming, but ongoing temperature increases, woody plant invasion, and a potential lack of flexibility in timing of senescence may foreshadow challenges.","2021-10","2025-03-06 11:17:01","2025-03-06 11:17:01","","5070-5083","","20","27","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; phenology; mountain; arctic flora; historical data; migration; resiliency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7T8CGP2W","journalArticle","2015","Wheeler, Helen C.; Hoye, Toke T.; Schmidt, Niels Martin; Svenning, Jens-Christian; Forchhammer, Mads C.","Phenological mismatch with abiotic conditions-implications for flowering in Arctic plants","ECOLOGY","","0012-9658","10.1890/14-0338.1","","Although many studies have examined the phenological mismatches between interacting organisms, few have addressed the potential for mismatches between phenology and seasonal weather conditions. In the Arctic, rapid phenological changes in many taxa are occurring in association with earlier snowmelt. The timing of snowmelt is jointly affected by the size of the late winter snowpack and the temperature during the spring thaw. Increased winter snowpack results in delayed snowmelt, whereas higher air temperatures and faster snowmelt advance the timing of snowmelt. Where interannual variation in snowpack is substantial, changes in the timing of snowmelt can be largely uncoupled from changes in air temperature. Using detailed, long-term data on the flowering phenology of four arctic plant species from Zackenberg, Greenland, we investigate whether there is a phenological component to the temperature conditions experienced prior to and during flowering. In particular, we assess the role of timing of flowering in determining pre-flowering exposure to freezing temperatures and to the temperatures experienced prior to flowering. We then examine the implications of flowering phenology for flower abundance. Earlier snowmelt resulted in greater exposure to freezing conditions, suggesting an increased potential for a mismatch between the timing of flowering and seasonal weather conditions and an increased potential for negative consequences, such as freezing damage. We also found a parabolic relationship between the timing of flowering and the temperature experienced during flowering after taking interannual temperature effects into account. If timing of flowering advances to a cooler period of the growing season, this may moderate the effects of a general warming trend across years. Flower abundance was quadratically associated with the timing of flowering, such that both early and late flowering led to lower flower abundance than did intermediate flowering. Our results indicate that shifting the timing of flowering affects the temperature experienced during flower development and flowering beyond that imposed by interannual variations in climate. We also found that phenological timing may affect flower abundance, and hence, fitness. These findings suggest that plant population responses to future climate change will be shaped not only by extrinsic climate forcing, but also by species' phenological responses.","2015-03","2025-03-06 11:17:01","2025-03-06 11:17:01","","775-787","","3","96","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; flowering; phenology; snowmelt; interannual variability; Cassiope tetragona; climatic mismatch; Dryas octopetala; Greenland; Huisman-Olff-Fresco models; integrifolia; Papaver radicatum; Salix arctica; Zackenberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4T9WHZ3T","journalArticle","1997","Totland, O","Effects of flowering time and temperature on growth and reproduction in Leontodon autumnalis var. taraxaci a late-flowering alpine plant","ARCTIC AND ALPINE RESEARCH","","0004-0851","10.2307/1552142","","In most alpine and arctic plants there is selection for early flowering because of the short time available to complete seed production before the season terminates. Despite this, some species initiate flowering late in the season, but little work has been done on the reproductive ecology of such species. This work investigates the reproductive consequences of late flowering in Leontodon autumnalis var. taraxaci in alpine southwest Norway during two seasons. In addition, the effects of an experimental increase in growing-season temperature on growth and reproduction are also examined. The reproductive success of Leontodon decreased strongly as the flowering season progressed, possibly as a result of increased climatic severity and increased extent of pollen and resource limitation on reproduction. Experimentally warmed plants produced significantly more and heavier seeds, and flowered more than 1 wk earlier than control plants, showing that temperature conditions influence both reproductive processes and flowering phenology. The results suggest that this late-flowering alpine species will bloom earlier, reproduce more, and grow larger under global warming.","1997-08","2025-03-06 11:17:01","2025-03-06 11:17:01","","285-290","","3","29","","","","","","","","","","English","","","","","","","Place: UNIV COLORADO, BOULDER, CO 80309 USA Publisher: INST ARCTIC ALPINE RES Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6ZLNGKN","journalArticle","2021","Collins, Courtney G.; Elmendorf, Sarah C.; Hollister, Robert D.; Henry, Greg H. R.; Clark, Karin; Bjorkman, Anne D.; Myers-Smith, Isla H.; Prevey, Janet S.; Ashton, Isabel W.; Assmann, Jakob J.; Alatalo, Juha M.; Carbognani, Michele; Chisholm, Chelsea; Cooper, Elisabeth J.; Forrester, Chiara; Jonsdottir, Ingibjorg Svala; Klanderud, Kari; Kopp, Christopher W.; Livensperger, Carolyn; Mauritz, Marguerite; May, Jeremy L.; Molau, Ulf; Oberbauer, Steven F.; Ogburn, Emily; Panchen, Zoe A.; Petraglia, Alessandro; Post, Eric; Rixen, Christian; Rodenhizer, Heidi; Schuur, Edward A. G.; Semenchuk, Philipp; Smith, Jane G.; Steltzer, Heidi; Totland, Orjan; Walker, Marilyn D.; Welker, Jeffrey M.; Suding, Katharine N.","Experimental warming differentially affects vegetative and reproductive phenology of tundra plants","NATURE COMMUNICATIONS","","","10.1038/s41467-021-23841-2","","Rapid climate warming is altering Arctic and alpine tundra ecosystem structure and function, including shifts in plant phenology. While the advancement of green up and flowering are well-documented, it remains unclear whether all phenophases, particularly those later in the season, will shift in unison or respond divergently to warming. Here, we present the largest synthesis to our knowledge of experimental warming effects on tundra plant phenology from the International Tundra Experiment. We examine the effect of warming on a suite of season-wide plant phenophases. Results challenge the expectation that all phenophases will advance in unison to warming. Instead, we find that experimental warming caused: (1) larger phenological shifts in reproductive versus vegetative phenophases and (2) advanced reproductive phenophases and green up but delayed leaf senescence which translated to a lengthening of the growing season by approximately 3%. Patterns were consistent across sites, plant species and over time. The advancement of reproductive seasons and lengthening of growing seasons may have significant consequences for trophic interactions and ecosystem function across the tundra. It is unclear whether climate driven phenological shifts of tundra plants are consistent across the plant growing season. Here the authors analyse data from a network of field warming experiments in Arctic and alpine tundra, finding that warming differentially affects the timing and duration of reproductive and vegetative phenology.","2021-06-11","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","1","12","","","","","","","","","","English","","","","","","","Place: HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY Publisher: NATURE PORTFOLIO Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJQUAF68","journalArticle","2006","Wipf, Sonja; Rixen, Christian; Mulder, Christa P. H.","Advanced snowmelt causes shift towards positive neighbour interactions in a subarctic tundra community","GLOBAL CHANGE BIOLOGY","","1354-1013","10.1111/j.1365-2486.2006.01185.x","","Positive and negative species interactions are important factors in structuring vegetation communities. Studies in many ecosystems have focussed on competition; however, facilitation has often been found to outweigh competition under harsh environmental conditions. The balance between positive and negative species interactions is known to shift along spatial, temporal and environmental gradients and thus is likely to be affected by climate change. Winter temperature and precipitation patterns in Interior Alaska are rapidly changing and could lead to warmer winters with a shallow, early melting snow cover in the near future. We conducted snow manipulation and neighbour removal experiments to test whether the relative importance of positive and negative species interactions differs between three winter climate scenarios in a subarctic tundra community. In plots with ambient, manually advanced or delayed snowmelt, we assessed the relative importance of neighbours for survival, phenology, growth and reproduction of two dwarf shrub species. Under ambient conditions and after delayed snowmelt, positive and negative neighbour effects were generally balanced, but when snowmelt was advanced we found overall facilitative neighbour effects on survival, phenology, growth and reproduction of Empetrum nigrum, the earlier developing of the two target species. As earlier snowmelt was correlated with colder spring temperatures and a higher number of frosts, we conclude that plants experienced harsher environmental conditions after early snowmelt and that neighbours could have played an important role in ameliorating the physical environment at the beginning of the growing season.","2006-08","2025-03-06 11:17:01","2025-03-06 11:17:01","","1496-1506","","8","12","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","phenology; reproduction; growth; Vaccinium vitis-idaea; dwarf shrub heath; Empetrum nigrum; facilitation; neighbour removal experiment; winter climate change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89YICH8M","journalArticle","2024","Rose-Person, Annika; Spasojevic, Marko J.; Forrester, Chiara; Bowman, William D.; Suding, Katharine N.; Oldfather, Meagan F.; Rafferty, Nicole E.","Early snowmelt advances flowering phenology and disrupts the drivers of pollinator visitation in an alpine ecosystem","ALPINE BOTANY","","1664-2201","10.1007/s00035-024-00315-x","","Climate change is altering interactions among plants and pollinators. In alpine ecosystems, where snowmelt timing is a key driver of phenology, earlier snowmelt may generate shifts in plant and pollinator phenology that vary across the landscape, potentially disrupting interactions. Here we ask how experimental advancement of snowmelt timing in a topographically heterogeneous alpine-subalpine landscape impacts flowering, insect pollinator visitation, and pathways connecting key predictors of plant-pollinator interaction. Snowmelt was advanced by an average of 13.5 days in three sites via the application of black sand over snow in manipulated plots, which were paired with control plots. For each forb species, we documented flowering onset and counted flowers throughout the season. We also performed pollinator observations to measure visitation rates. The majority (79.3%) of flower visits were made by dipteran insects. We found that plants flowered earlier in advanced snowmelt plots, with the largest advances in later-flowering species, but flowering duration and visitation rate did not differ between advanced snowmelt and control plots. Using piecewise structural equation models, we assessed the interactive effects of topography on snowmelt timing, flowering phenology, floral abundance, and pollinator visitation. We found that these factors interacted to predict visitation rate in control plots. However, in plots with experimentally advanced snowmelt, none of these predictors explained a significant amount of variation in visitation rate, indicating that different predictors are needed to understand the processes that directly influence pollinator visitation to flowers under future climate conditions. Our findings demonstrate that climate change-induced early snowmelt may fundamentally disrupt the predictive relationships among abiotic and biotic drivers of plant-pollinator interactions in subalpine-alpine environments.","2024-10","2025-03-06 11:17:01","2025-03-06 11:17:01","","141-150","","2, SI","134","","","","","","","","","","English","","","","","","","Place: PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND Publisher: SPRINGER BASEL AG Type: Article","","","","Climate change; Flowering time; Plant-pollinator interactions; Topography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLKL6VSE","journalArticle","2024","Zettlemoyer, Meredith A.; Conner, Rebecca J.; Seaver, Micaela M.; Waddle, Ellen; DeMarche, Megan L.","A Long-Lived Alpine Perennial Advances Flowering under Warmer Conditions but Not Enough to Maintain Reproductive Success","AMERICAN NATURALIST","","0003-0147","10.1086/729438","","Assessing whether phenological shifts in response to climate change confer a fitness advantage requires investigating the relationships among phenology, fitness, and environmental drivers of selection. Despite widely documented advancements in phenology with warming climate, we lack empirical estimates of how selection on phenology varies in response to continuous climate drivers or how phenological shifts in response to warming conditions affect fitness. We leverage an unusual long-term dataset with repeated, individual measurements of phenology and reproduction in a long-lived alpine plant. We analyze phenotypic plasticity in flowering phenology in relation to two climate drivers, snowmelt timing and growing degree days (GDDs). Plants flower earlier with increased GDDs and earlier snowmelt, and directional selection also favors earlier flowering under these conditions. However, reproduction still declines with warming and early snowmelt, even when flowering is early. Furthermore, the steepness of this reproductive decline increases dramatically with warming conditions, resulting in very little fruit production regardless of flowering time once GDDs exceed approximately 225 degree days or snowmelt occurs before May 15. Even though advancing phenology confers a fitness advantage relative to stasis, these shifts are insufficient to maintain reproduction under warming, highlighting limits to the potential benefits of phenological plasticity under climate change.","2024-05-01","2025-03-06 11:17:01","2025-03-06 11:17:01","","E157-E174","","5","203","","","","","","","","","","English","","","","","","","Place: 1427 E 60TH ST, CHICAGO, IL 60637-2954 USA Publisher: UNIV CHICAGO PRESS Type: Article","","","","climate change; phenology; fitness landscape; plasticity; selection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85UIDHCT","journalArticle","2021","Jiang, Yuhao; Li, Baolin; Yuan, Yecheng; Sun, Qingling; Zhang, Tao; Liu, Yan; Li, Ying; Li, Rui","Divergent shifts in flowering phenology of herbaceous plants on the warming Qinghai-Tibetan plateau","AGRICULTURAL AND FOREST METEOROLOGY","","0168-1923","10.1016/j.agrformet.2021.108502","","Both advanced and delayed shifts of different magnitude in flowering phenology, based on limited controlled experiments and ground-based observational studies, have been reported on the Qinghai-Tibetan Plateau (QTP). To clarify flowering phenological changes, we collected 1646 ground-observed phenological records of 21 species, from 27 stations, for 78 time series, and daily average air temperature data from 1983 to 2017 on the QTP. Trends in the first flowering date (FFD) and changes with temperature increase were analyzed using regression models. The FFD of early flowering time series showed an overall trend for significant advance (-0.371 +/- 0.149 days/year, p < 0.001), whereas the mid-to-late-flowering showed a delayed trend (0.158 +/- 0.193 days/year, p = 0.108). This finding is in contrast with the stable trend for early flowering species and the advanced trend for midsummer and late-flowering species in high latitude and Arctic regions, where the low-temperature environment is similar. The growing degree days from 1 January to the day of the observed occurrence of the FFD for early flowering time series kept stable (p = 0.531) and FFD showed a positive regression with chilling days; however, the growing degree days of mid-to-late-flowering time series increased significantly at a rate of 5.375 +/- 2.519 degrees C-days/year (p < 0.001), indicating the limitation on FFD from other related climatic factors except for forcing temperature may strengthen, and FFD showed no relationship with chilling days. The mid-tolate-flowering time series showed vernalization sensitivity in the spring of the flowering year, whereas the early flowering time series did not. This indicated that retarded vernalization completion may be responsible for the delayed flowering phenology of mid-to-late-flowering species. The FFD of early flowering species, with flower preformation in the preceding autumn, was mainly controlled by forcing temperature in spring; decreased chilling days indicating warmer winter were also beneficial for development and fitness of preformed floral organs, and thus, temperature increase significantly advanced the FFD. These findings suggest that divergent flowering phenology shifts may alter the species composition and ecosystem services of alpine ecosystems, causing challenges in grassland management.","2021-09-15","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","","307","","","","","","","","","","English","","","","","","","Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article","","","","Flowering phenology; Global warming; Flower preformation; Herbaceous plants; Qinghai-Tibetan plateau; Vernalization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZG58LNBY","journalArticle","2018","Fazlioglu, Fatih","Tracing phenology of subarctic plants over the last century","POLISH POLAR RESEARCH","","0138-0338","10.24425/118754","","Climate change has been affecting plants over the last century and caused changes in life history features such as the flowering time. Herbarium specimens provide a snapshot of the past environmental conditions during their collection. The collection date in a herbarium specimen is a good proxy to determine the flowering period (phenology). In this study, phenological data from subarctic plant specimens collected over 100 years were gathered by using one of the largest herbarium databases in the World. The collection dates of 7146 herbarium specimens were analyzed and significant shifts in the phenology of subarctic plants were detected. In this study, most of the analyzed 142 species in a subarctic biogeographic region tended to flower earlier in the 1950-2018 period compared to the 1900-1949 as a possible result of the climate change. Flowering time shifted from 8 to 26 days in some species. Changes in flowering time may alter species interactions, community composition, and species distribution in a region. Therefore, results of this study may shed light on the possible shifts in phenology and plant responses under the climate change.","2018","2025-03-06 11:17:01","2025-03-06 11:17:01","","413-424","","3","39","","","","","","","","","","English","","","","","","","Place: PL DEFILAD 1, WARSZAWA, 00-901, POLAND Publisher: POLSKA AKAD NAUK, POLISH ACAD SCIENCES Type: Article","","","","climate change; flowering time; herbarium specimens; Subarctic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89DJUWH7","journalArticle","2013","Li, Zhongrong; Wu, Ning; Gao, Xinfen; Wu, Yan; Oli, Krishna P.","Species-level phenological responses to `global warming' as evidenced by herbarium collections in the Tibetan Autonomous Region","BIODIVERSITY AND CONSERVATION","","0960-3115","10.1007/s10531-012-0408-x","","In recent years attention has been given to assess the impacts of warming on the plant flowering phenology. There is a growing realization that herbarium-based collections could offer a reliable and relatively time-saving baseline data source to identify these effects. This article examines the magnitude and trends of warming effects on the average flowering timing (AFT) of plants in Tibet Autonomous Region using analysis of herbarium specimens collected for 4 decades. Mixed model with randomized blocks was used to analyze a set of 41 species (total 909 specimens) which were collected during the period of 1961-2000. Results showed that an earlier AFT emerged within 40 years period in comparison to the recorded data of the year of 2000 (0.5 days per year), and that 7.5 days early flowering was contributed by mean summer (i.e., June-August) temperature. It is proposed that temporary shifts in flowering phenology responding to continuing temperature rise could quantify the extent to which climate affects plant species. Analysis of well recorded herbarium specimens could provide a reasonable indication on the impacts of rising temperature on plant phenology. The result of this study could also facilitate a bridge between the scientific knowledge and indigenous knowledge of Tibetan communities.","2013-01","2025-03-06 11:17:01","2025-03-06 11:17:01","","141-152","","1","22","","","","","","","","","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article","","","","Flowering phenology; Climate warming; Herbarium specimens; Mixed model; Tibet autonomous region","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZZWMWWD","journalArticle","2020","Dorji, Tsechoe; Hopping, Kelly A.; Meng, Fandong; Wang, Shiping; Jiang, Lili; Klein, Julia A.","Impacts of climate change on flowering phenology and production in alpine plants: The importance of end of flowering","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","","0167-8809","10.1016/j.agee.2019.106795","","Changes in the seasonal timing of plant flowering are hypothesized to alter the number of flowers plants produce, which contributes to reproductive success. However, empirical evidence linking specific aspects of plant flowering phenology to the number of flowers produced is limited, particularly under future global climate change. We used phenology measurements after 2, 3, 6, and 7 years of a fully factorial, climate change field experiment in an alpine meadow pasture on the central Tibetan Plateau to understand: 1) how experimental warming and snow addition affect the date of first and last flowering in related forb and shrub species, Potentilla saundersiana Royle and Potentilla fruticosa L.; and 2) how these changes in the timing of phenological events alter flowering duration and production, as a proxy for reproductive effort. We found that warming significantly advanced the date of first flowering in both P. fruticosa and P. saundersiana, with no other significant effects on flowering duration or production. In contrast to warming, simulated snowstorms delayed the date of first flowering in P. saundersiana, but had no significant effect on P. fruticosa. There were no significant treatment interactions. For both species, flower production increased as the last date of flowering occurred later. These results indicate that as climate change alters alpine plant phenology, advances in the timing of first flowering alone will not necessarily translate to increases in flowering duration and enhanced reproductive effort. Instead, these findings demonstrate the importance of the date of last flowering in mediating plant reproductive effort and success.","2020-04-01","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","","291","","","","","","","","","","English","","","","","","","Place: RADARWEG 29a, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article","","","","Seasonality; Alpine; Climate warming; OTCs; Shrub; Snow manipulation; Tibetan Plateau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYI5XJY8","journalArticle","2017","Schmid, Sophie F.; Stocklin, Jurg; Hamann, Elena; Kesselring, Halil","High-elevation plants have reduced plasticity in flowering time in response to warming compared to low-elevation congeners","BASIC AND APPLIED ECOLOGY","","1439-1791","10.1016/j.baae.2017.05.003","","Global warming has caused shifts in the flowering time of many plant species. In alpine regions the temperature rise has been especially pronounced and together with decreasing winter precipitation has led to earlier snowmelt. The close association between time of snowmelt and plant growth at high elevations makes climate change for alpine plants particularly threatening. Here we transplanted eleven congeneric pairs of high- and low-elevation herbaceous species to common gardens differing c. 800 m in elevation, and c. 4 degrees C in mean growing season temperature to test whether reproductive phenologies of high- and low-elevation plants differ in their respective responses to temperature. Results indicate that high-elevation plants were less plastic in response to transplantation than their low-elevation congeners as the onsets of phenophases on average shifted 7 days less than in low-elevation plants. Plasticity of phenophase durations was overall weaker than that of phenophase onsets, and slightly stronger in high-elevation species compared to low-elevation congeners. We suggest that weaker plasticity in the onsets of early stages of reproductive phenology of high-elevation plants is related to spring frost, which constitutes a strong selective agent against early loss of winter hardiness. Some of the plastic responses of both low- and high-elevation species might potentially be adaptive under predicted climate change. However, the observed plasticity can be largely explained as a passive response to temperature and not as the result of natural selection in heterogeneous environments. The strong temperature-sensitivity of low-elevation species might promote their upward range expansion, but only to a certain threshold after which it becomes limited by the short growing season. (C) 2017 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.","2017-06","2025-03-06 11:17:01","2025-03-06 11:17:01","","1-12","","","21","","","","","","","","","","English","","","","","","","Place: HACKERBRUCKE 6, 80335 MUNICH, GERMANY Publisher: ELSEVIER GMBH Type: Article","","","","Flowering; Phenology; Alpine plants; Warming; Canalization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
