Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body,Screen,Reason,Comment,Screen.Name
ATBZNT7J,journalArticle,2021,"Lima, Duane F.; Mello, Jose H. F.; Lopes, Isadora T.; Forzza, Rafaela C.; Goldenberg, Renato; Freitas, Leandro",Phenological responses to climate change based on a hundred years of herbarium collections of tropical Melastomataceae,PLOS ONE,,1932-6203,10.1371/journal.pone.0251360,NA,"Changes in phenological events have been vastly documented in face of recent global climate change. These studies are concentrated on temperate plants, and the responses of tropical species are still little understood, likely due to the lack of long-term phenological records in the tropics. In this case, the use of herbarium specimens to gather phenological data over long periods and wide geographic areas has emerged as a powerful tool. Here, we used four Melastomataceae species endemic to the Brazilian Atlantic Forest to evaluate phenological patterns and alterations as responses to recent climate changes. Phenological data were gathered from Reflora Virtual Herbarium specimens collected between 1920 and 2018, and analyzed with circular statistics applied to the intervals 1920-1979, 1980-1999, and 2000-2018. The effects of temperature range, average temperature, precipitation, and photoperiod on flowering and fruiting of each species were tested using multiple linear regressions. Through circular statistics, we detected changes, mostly delays, in the flowering of Miconia quinquedentata, Pleroma clavatum and P. trichopodum, and in the fruiting of M. acutiflora, P. clavatum and P. trichopodum. We also found that flowering and fruiting occurrence were related to local climatic conditions from months prior to the collections. We found marked phenological variations over the decades and also that these variations are associated to global climate change, adding up to the large body of evidence from higher latitudes. Our results also support herbarium collections as an important source for long-term tropical phenological studies. The lack of consistent patterns of responses among the four species (e.g. fruiting delayed two months in P. clavatum and advanced one month in M. acutiflora) suggests that climate change has unequal effects across tropical forests. This highlights the urgent need for further research to understand and forecast the ecological implications of these changes in global ecosystems processes.",07/05/2021,03/03/2025 20:51,03/03/2025 20:51,NA,,NA,5,16,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA Publisher: PUBLIC LIBRARY SCIENCE Type: Article",NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
MRGSWXVD,journalArticle,2005,"Chapman, CA; Chapman, LJ; Struhsaker, TT; Zanne, AE; Clark, CJ; Poulsen, JR",A long-term evaluation of fruiting phenology: importance of climate change,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467404001993,NA,"Within the last decade the study of phenology has taken on new importance because of its contribution to climate-change research. However, phenology data sets spanning many years are rare in the tropics, making it difficult to evaluate possible responses of tropical communities to climate change. Here we use two data sets (1970-1983 and 1990-2002) to describe the fruiting patterns of the tropical tree community in Kibate National Park, Uganda. To address variation in spatial patterns, we describe fruiting over 2-3 y among four sites each separated by 12-15 km. Presently, the Kibale region is receiving c. 300 min more rain than it did at the start of the century, droughts are less frequent, the onset of the rainy season is earlier. and the average maximum monthly temperature is 3.5degreesC hotter than it was 25 y ago. The 1990-2002 phenology data illustrated high temporal variability in the proportion of the populations fruiting. Interannual variation in community-wide fruit availability was also high; however, the proportion of trees that fruited has increased over the past 12 + y. At the species level a variety of patterns were exhibited; however, a number of the most common species currently rarely fruit, and when they do, typically < 41% of the individuals take part in fruiting events. Combining the data set from 1990 to 2002 with that from 1970 to 1983 for specific species again reveals an increase in the proportion of trees fruiting between 1990 and 2002: however, the proportion of the populations fruiting decreased during the earlier period. When one examines particular species over this whole period a variety of patterns are evident. For example, Pouteria altissima exhibited a relatively regular pattern of fruiting during the 1970s; however, it rarely fruited in the 1990s. Contrasting phenological patterns at four sites revealed that at the community level the fruiting patterns of only one of the six pair-wise site combinations were correlated. Relationships between rainfall and fruiting were variable among sites. Contrasting changes in fruiting patterns over the 30 y with differences among the four sites varying in rainfall, suggests that the changes observed in fruiting may be due to climate change. Responses to this climate change are likely complex and will vary among species. However, for some species, current conditions appear unsuitable for fruiting.",2005-01,03/03/2025 20:51,03/03/2025 20:51,NA,31-45,NA,1,21,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 40 WEST 20TH ST, NEW YORK, NY 10011-4211 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",NA,NA,NA,climate change; seasonality; flowering; fruiting; tropical trees; Kibale National Park; phenology; seed dispersal; Uganda,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,fruiting not flowering ,Insert Screener Name
3ZT3CXWY,journalArticle,2012,"Boyle, W. Alice; Bronstein, Judith L.",Phenology of tropical understory trees: patterns and correlates,REVISTA DE BIOLOGIA TROPICAL,,0034-7744,,NA,"Reproductive phenologies of plants are constrained by climate in highly seasonal regions. In contrast, plants growing in wet tropical forests are freed from many abiotic constraints, which in canopy tree communities lead to a rich diversity of phenological patterns within and among individuals, species and communities. However, basic descriptions of tropical phenological patterns and the processes that shape them are rare. Here, we document the individual-, population-, and landscape-level phenological patterns of two dominant families of understory woody plants important to avian frugivores, the Melastomataceae and Rubiaceae, along an elevational transect in Costa Rica. The 226 individual plants belonging to 35 species in this study, varied in the number of reproductive bouts/year, and the timing, duration, and synchrony of reproductive stages. This variation was not related to factors related to their interactions with mutualists and antagonists, nor did it appear to be constrained by phylogeny. Diverse phenological patterns among species led to relatively aseasonal patterns at the community and landscape level. Overall, evidence for biotic processes shaping temporal patterns of fruiting phenology was weak or absent. These findings reveal a number of unexplained patterns, and suggest that factors shaping phenology in relatively aseasonal forests operate in idiosyncratic ways at the species level. Rev. Biol. Trop. 60 (4): 1415-1430. Epub 2012 December 01.",2012-12,03/03/2025 20:51,03/03/2025 20:51,NA,1415-1430,NA,4,60,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: UNIVERSIDAD DE COSTA RICA CIUDAD UNIVERSITARIA, SAN JOSE, 00000, COSTA RICA Publisher: REVISTA DE BIOLOGIA TROPICAL Type: Article",NA,NA,NA,Costa Rica; climate; frugivory; fruit pathogens; phenological patterns; seed dispersal mutualisms; tropical wet forest,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,fruiting not flowering ,Insert Screener Name
9FIAR2XC,journalArticle,2015,"Butt, Nathalie; Seabrook, Leonie; Maron, Martine; Law, Bradley S.; Dawson, Terence P.; Syktus, Jozef; Mcalpine, Clive A.",Cascading effects of climate extremes on vertebrate fauna through changes to low-latitude tree flowering and fruiting phenology,GLOBAL CHANGE BIOLOGY,,1354-1013,10.1111/gcb.12869,NA,"Forest vertebrate fauna provide critical services, such as pollination and seed dispersal, which underpin functional and resilient ecosystems. In turn, many of these fauna are dependent on the flowering phenology of the plant species of such ecosystems. The impact of changes in climate, including climate extremes, on the interaction between these fauna and flora has not been identified or elucidated, yet influences on flowering phenology are already evident. These changes are well documented in the mid to high latitudes. However, there is emerging evidence that the flowering phenology, nectar/pollen production, and fruit production of long-lived trees in tropical and subtropical forests are also being impacted by changes in the frequency and severity of climate extremes. Here, we examine the implications of these changes for vertebrate fauna dependent on these resources. We review the literature to establish evidence for links between climate extremes and flowering phenology, elucidating the nature of relationships between different vertebrate taxa and flowering regimes. We combine this information with climate change projections to postulate about the likely impacts on nectar, pollen and fruit resource availability and the consequences for dependent vertebrate fauna. The most recent climate projections show that the frequency and intensity of climate extremes will increase during the 21st century. These changes are likely to significantly alter mass flowering and fruiting events in the tropics and subtropics, which are frequently cued by climate extremes, such as intensive rainfall events or rapid temperature shifts. We find that in these systems the abundance and duration of resource availability for vertebrate fauna is likely to fluctuate, and the time intervals between episodes of high resource availability to increase. The combined impact of these changes has the potential to result in cascading effects on ecosystems through changes in pollinator and seed dispersal ecology, and demands a focused research effort.",2015-09,03/03/2025 20:51,03/03/2025 20:51,NA,3267-3277,NA,9,21,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Review",NA,NA,NA,flowering; fruiting; climate extremes; ecosystem processes; extreme climate events; frugivores; nectarivores; tree reproductive phenology; vertebrate species,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe,Insert Screener Name
VU58ZYQ2,journalArticle,2020,"Du, Yanjun; Li, Danfeng; Yang, Xiaobo; Peng, Danxiao; Tang, Xinran; Liu, Hui; Li, Donghai; Hong, Xiaojiang; Song, Xiqiang",Reproductive phenology and its drivers in a tropical rainforest national park in China: Implications for Hainan gibbon (<i>Nomascus hainanus</i>) conservation,GLOBAL ECOLOGY AND CONSERVATION,,,10.1016/j.gecco.2020.e01317,NA,"Reproductive plant phenology, such as the seasonal timing of flowering or fruiting, influences many aspects of tropical forest communities, but there are few studies examining potential drivers of phenological patterns, especially in south China. We explored phenological patterns in Hainan Tropical Rainforest National Park (HNNP) in China and their major climatic and biotic drivers, based on phenological and distribution data for >2000 species from the Flora of Hainan. Specifically, we address the following questions: (1) What are the phenological patterns for all species in HNNP and for Hainan gibbon food plants only? (2) What are the environmental drivers of reproductive phenology? (3) Whether the flowering and fruiting dates are phylogenetic conserved? (4) Does reproductive phenology vary with functional groups, like growth forms, pollination modes and fruit types? Our results show flowering peaks in late spring and early summer, while fruiting phenology was concentrated during late summer and fall. Closely related species tend to have similar flowering and fruiting dates. The number of flowering species was primary controlled by mean maximum monthly temperature while minimum monthly temperature was the most important variable in shaping fruiting patterns of all species. For fruiting of gibbon food plants, mean monthly precipitation was the most important variable. Our study found January to May was food shortage period, which has important implications for Hainan gibbon conservation. We should take targeted ecological restoration by planting gibbon food species with phenologies between January and May, and take targeted provisioning to attract gibbons into a new habitat by providing fruits between January and May. (C) 2020 The Author(s). Published by Elsevier B.V.",2020-12,03/03/2025 20:51,03/03/2025 20:51,NA,,NA,,24,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,Ecological restoration; Flora of Hainan; Flowering phenology; Fruiting phenology; Hainan tropical rainforest national park,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
KG4569ZM,journalArticle,2017,"Haselhorst, Derek S.; Tcheng, David K.; Moreno, J. Enrique; Punyasena, Surangi W.",The effects of seasonal and long-term climatic variability on Neotropical flowering phenology: An ecoinformatic analysis of aerial pollen data,ECOLOGICAL INFORMATICS,,1574-9541,10.1016/j.ecoinf.2017.06.005,NA,"The phenological behavior of tropical forests changes in response to seasonal, annual, and long-term variation in temperature, precipitation, and solar irradiance. However, detecting the respective influence of these variables is difficult due to the relatively small range of change that is observed in the tropics. Analysis is further constrained by the limited duration of many phenological datasets. To address these limitations, we developed a predictive ecoinformatic model using multivariate linear regression and slope correlation analysis that can uncover statistically significant biological responses within short, noisy ecological time series. Our approach correlates all possible combinations of climatic and taxonomic variables using a series of random determination trials on shuffled environmental data. Seasonal and annual fluctuations in temperature, precipitation, and sunlight were used to predict the reproductive response of each individual taxon. This predictive model was applied to two seasonally sampled aerial pollen records collected between 1996 and 2006 from two Panamanian forests, Barro Colorado Island and Parque Nacional San Lorenzo. Our results highlight the degree to which pollen output responds to fine-scale variability in climate. Our results lend support to the hypothesis that the pollen output of tropical species is diminished with prolonged periods of heavy rainfall and that pollen output is sensitive to small, seasonal increases in temperature. Our ecoinformatic approach can be expanded to other observational phenological datasets to better understand how communities will respond to climate change and our results demonstrate the ability of aerial pollen data to track long-term changes in flowering phenology.",2017-09,03/03/2025 20:51,03/03/2025 20:51,NA,54-63,NA,,41,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,Climate; Ecoinformatics; Ecology; Palynology; Phenology; Pollen,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe,Insert Screener Name
RD55672Q,journalArticle,2007,"Myneni, Ranga B.; Yang, Wenze; Nemani, Ramakrishna R.; Huete, Alfredo R.; Dickinson, Robert E.; Knyazikhin, Yuri; Didan, Kamel; Fu, Rong; Juarez, Robinson I. Negron; Saatchi, Sasan S.; Hashimoto, Hirofumi; Ichii, Kazuhito; Shabanov, Nikolay V.; Tan, Bin; Ratana, Piyachat; Privette, Jeffrey L.; Morisette, Jeffrey T.; Vermote, Eric F.; Roy, David P.; Wolfe, Robert E.; Friedl, Mark A.; Running, Steven W.; Votava, Petr; El-Saleous, Nazmi; Devadiga, Sadashiva; Su, Yin; Salomonson, Vincent V.",Large seasonal swings in leaf area of Amazon rainforests,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,0027-8424,10.1073/pnas.0611338104,NA,"Despite early speculation to the contrary, all tropical forests studied to date display seasonal variations in the presence of new leaves, flowers, and fruits. Past studies were focused on the timing of phenological events and their cues but not on the accompanying changes in leaf area that regulate vegetation-atmosphere exchanges of energy, momentum, and mass. Here we report, from analysis of 5 years of recent satellite data, seasonal swings in green leaf area of approximate to 25% in a majority of the Amazon rainforests. This seasonal cycle is timed to the seasonality of solar radiation in a manner that is suggestive of anticipatory and opportunistic patterns of net leaf flushing during the early to mid part of the light-rich dry season and net leaf abscission during the cloudy wet season. These seasonal swings in leaf area may be critical to initiation of the transition from dry to wet season, seasonal carbon balance between photosynthetic gains and respiratory losses, and litterfall nutrient cycling in moist tropical forests.",20/03/2007,03/03/2025 20:51,03/03/2025 20:51,NA,4820-4823,NA,12,104,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA Publisher: NATL ACAD SCIENCES Type: Article",NA,NA,NA,remote sensing; tropical forests phenology; vegetation climate interaction,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,not flowering ,Insert Screener Name
DTPGTFC7,journalArticle,2023,"Lee, Calvin Ka Fai; Song, Guangqin; Muller-Landau, Helene C.; Wu, Shengbiao; Wright, S. Joseph; Cushman, K. C.; Araujo, Raquel Fernandes; Bohlman, Stephanie; Zhao, Yingyi; Lin, Ziyu; Sun, Zounachuan; Cheng, Peter Chuen Yan; Ng, Michael Kwok-Po; Wu, Jin",Cost-effective and accurate monitoring of flowering across multiple tropical tree species over two years with a time series of high-resolution drone imagery and deep learning,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,0924-2716,10.1016/j.isprsjprs.2023.05.022,NA,"Detection of flowering and quantification of flowering phenology are key to monitoring the reproduction of tropical trees and their response to global change. However, effective monitoring of flowering over various scales from individuals to forest ecosystem levels is lacking due to the relatively small sizes of flowers, diverse flowering strategies across species, and the short duration of flowering, making accurate flower detection difficult. Dronebased surveys require less time and human resources than traditional ground-based flower surveys and thus may be able to help address this in a cost-effective manner but remain underexplored in species-rich tropical forest ecosystems. Here, we developed a method that integrated the Residual Networks 50 (ResNet50) deep learning algorithm with high resolution imagery (c. 0.05 m) from monthly drone surveys done in a 50-ha tropical forest plot on Barro Colorado Island (BCI), Panam & PRIME;a, over 2018-2020 to detect a diversity of flowering species in this tree community and to track the timing of flowering throughout the year. We built a comprehensive training library of canopy components (flower, leaf, branch, and shade) from this forest plot throughout the study period, trained a single deep learning model across all drone imagery, and validated it using five-fold cross validation at the pixel scale. We further generated image- and tree-crown-specific supervised classifications to evaluate the deep learning model at the tree-crown scale. Our deep learning method accurately classified flowers (User's accuracy = 95.3 %, Producer's accuracy = 85.8 %) while maintaining high predictive power for the other three classes (Overall accuracy = 98.4 %). Our results also demonstrated high consistency against tree-crown-specific supervised classifications for flower (r2 = 0.85), leaf (r2 = 0.84), and branch (r2 = 0.92) components, with lower agreement observed for the shade component (r2 = 0.59). These results demonstrate the effectiveness of our method in advancing fine-scale flower monitoring in the tropics, with potential to be extended to other regions or other remote sensing platforms with frequent high-resolution monitoring. The method will allow us to better monitor flowering in tropical forests and improve our understanding of how phenology and reproductive success may be affected by climate change.",2023-07,03/03/2025 20:51,03/03/2025 20:51,NA,92-103,NA,,201,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,Drone; Flower detection; Flower fraction; ResNet50; Tropical phenology; UAV,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,doesnt actually do it ,Insert Screener Name
KR8U7U7T,journalArticle,2003,"Inouye, DW; Saavedra, F; Lee-Yang, W",Environmental influences on the phenology and abundance of flowering by <i>Androsace septentrionalis</i> (Primulaceae),AMERICAN JOURNAL OF BOTANY,,0002-9122,10.3732/ajb.90.6.905,NA,"We studied the timing and abundance of flowering by Androsace septentrionalis L. (Primulaceae), an indeterminate winter annual or short-lived perennial, in 2 X 2 m plots at the Rocky Mountain Biological Laboratory in Colorado, USA, from 1982 to 2000. Flowers were counted every other day for most or all of the growing season in seven plots in a rocky meadow habitat and nine plots in a wet meadow habitat. The phenology and abundance of flowering were both highly variable, with mean dates of first flowering ranging from 16 May to 12 July and maximum daily counts of flowers ranging from 1 to 1187. Snowmelt date was the primary determinant of timing of flowering. For rocky meadow plots, the previous year's summer precipitation and the current year's average minimum temperature in May had significant effects on maximum number of flowers produced, but no environmental variable we considered was significantly correlated with flower abundance in the wet meadow plots. Length of flowering in individual plots ranged from 2 to 85 d, and many plot-years had both primary (about 1 mo) and secondary (about 10-12 d) flowering periods. The predicted increase in variability of precipitation accompanying climate change will affect negatively the long-term abundance and persistence of this species at our study site.",2003-06,03/03/2025 20:51,03/03/2025 20:51,NA,905-910,NA,6,90,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,climate change; flowering; phenology; Androsace septentrionalis; precipitation; Primulaceae; snowmelt,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,not tropical,Insert Screener Name
34HHERDD,journalArticle,2019,"Hogan, J. Aaron; Nytch, Christopher J.; Bithorn, John E.; Zimmerman, Jess",Proposing the solar-wind energy flux hypothesis as a driver of inter-annual variation in tropical tree reproductive effort,AMERICAN JOURNAL OF BOTANY,,0002-9122,10.1002/ajb2.1380,NA,"Premise The El Nino Southern Oscillation (ENSO) affects tropical environmental conditions, potentially altering ecosystem function as El Nino events interact with longer-term climate change. Anomalously warm equatorial Pacific Ocean temperatures affect rainfall and temperature throughout the tropics and coincide with altered leaf flush phenology and increased fruit production in wet tropical forests; however, the understanding of mechanisms underlying this pattern is limited. There is evidence that increases in tropical tree reproduction anticipate El Nino onset, motivating the continued search for a global driver of tropical angiosperm reproduction. We present the solar-wind energy flux hypothesis: that physical energy influx to the Earth's upper atmosphere and magnetosphere, generated by a positive anomaly in the solar wind preceding El Nino development, cues tropical trees to increase resource allocation to reproduction. Methods We test this hypothesis using 19 years of data from Luquillo, Puerto Rico, correlating them with measures of solar-wind energy. Results From 1994 to 2013, the solar-wind energy flux into Earth's magnetosphere (E-in) was more strongly correlated with the number of species fruiting and flowering than the Nino 3.4 climate index, despite Nino 3.4 being previously identified as a driver of interannual increases in reproduction. Conclusions Changes in the global magnetosphere and thermosphere conditions from increased solar-wind energy affect global atmospheric pressure and circulation patterns, principally by weakening the Walker circulation. We discuss the idea that these changes cue interannual increases in tropical tree reproduction and act through an unidentified mechanism that anticipates and synchronizes the reproductive output of the tropical trees with El Nino.",2019-11,03/03/2025 20:51,03/03/2025 20:51,NA,1519-1525,NA,11,106,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,flowering; reproductive phenology; fruiting; tropical trees; El Nino Southern Oscillation; Luquillo; solar wind; solar-wind energy flux,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe,Insert Screener Name
7CBNENXW,journalArticle,2016,"Winarni, Nurul L.; Kurniasari, Dewi R.; Hartiningtias, Diny; Nusalawo, Meyner; Sakuntaladewi, Niken","PHENOLOGY, CLIMATE, AND ADAPTATION: HOW DOES DIPTEROCARPS RESPOND TO CLIMATE?",INDONESIAN JOURNAL OF FORESTRY RESEARCH,,2355-7079,10.20886/ijfr.2016.3.2.129-141,NA,"Temperature, rainfall and extreme weather have been indicated to affect the phenological patterns and forest productivity by shifting flowering and fruiting seasons and patterns, as well as crop production. Dipterocarpaceae are high value trees for both timber and non-timber forest products. This study aims to determine the response of phenological patterns of flowering and fruiting of Dipterocarps to climate variables. The study was conducted at Way Canguk Research Station of the Bukit Barisan Selatan National Park (BBSNP), Lampung during May-November 2012 by analyzing 14 years (1998-2012) of phenological data of Dipterocarps. The phenology surveys were carried out on monthly basis by estimating the percentage of flowering, fruiting (divided into 0-4 scoring) and the crop production. The results indicated that the phenological patterns of Dipterocarps in the area depicted major and minor patterns without mass-flowering time, different from what have been reported for Kalimantan or North Sumatra. Minor peak flowering season showed regular flowering, particularly during March to July every year. However, there were major flowering seasons in November 2002 (20.2%), September 2006 (21%), and October-November 2011 (20.3%). Average monthly fruit production showed a peak at the end of the dry season. Major flowering season seemed to coincide with the period of major El Nino events in November 2002 and September 2006, while others associated with La Nina. This study suggest that phenology and climate change may have implications in designing strategies for collection of seed materials to support the conservation and plantation programs of the Dipterocarps.",2016-10,03/03/2025 20:51,03/03/2025 20:51,NA,129-141,NA,2,3,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: JL GUNUNG BATU 05, BOGOR, WEST JAVA, 16610, INDONESIA Publisher: MINISTRY ENVIRONMENT & FORESTRY Type: Article",NA,NA,NA,phenology; climate; Dipterocarpaceae; Bukit Barisan Selatan National Park,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
AZA82Z8S,journalArticle,2018,"Huang, Lin; Koubek, Tomas; Weiser, Martin; Herben, Tomas",Environmental drivers and phylogenetic constraints of growth phenologies across a large set of herbaceous species,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.12927,NA,"1. Because perennial herbs of temperate climates develop their above-ground parts every year anew, their success critically depends on the timing and speed of this growth (growth phenology). These parameters can play a role in species coexistence and may differ along environmental gradients. Still, we know little about them, as most phenological data come from observations of flowering and to a lesser degree leafing onset. 2. We collected data on growth phenology of about 400 perennial herbs in a botanical garden to make the results independent of local differences in climatic drivers as much as possible. Using these data, we determined species-specific parameters of Day of peak growth, Day of maturity and two types of growth rates associated with the change in plant size. Environmental conditions in which these species occur in the field were assessed using Ellenberg indicator values, which express species' optima along gradients of moisture, nutrients and temperature. 3. Both timing and speed of growth estimated in the common garden were affected by light and moisture conditions of the habitats where the species typically occur. All parameters showed phylogenetic conservatism. 4. We identified two relationships among these parameters of growth phenology: (1) species with early peak growth had high relative growth rates in contrast to late species; (2) tall species showed later peak growth than short species. The first relationship is associated with survival under forest canopy, where species are selected to grow early and fast before trees leaf out, which restricts their size. The latter is associated with (asymmetric) competition for light in open habitats, where the main selection factor is for tall stature, which cannot be attained early in the season. 5. Synthesis. We show that large differences in size growth dynamics among herbaceous species are constrained by a few key trade-offs involving height at maturity, rate of growth and time when maximum height is attained. These trade-offs correspond to major selective forces acting on herbaceous plants in temperate climates.",2018-07,03/03/2025 20:51,03/03/2025 20:51,NA,1621-1633,NA,4,106,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,flowering phenology; Day of peak growth; Ellenberg values; growth phenology; growth rate; light; nutrients; perennial plant; phylogenetic conservatism,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,not tropical,Insert Screener Name
